,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
131,Bryn Forbes,Guard,28.0,75.0,2.0,17.1,109.0,117.0,-0.7,-2.2,54.2,15.27777777777778,3.9,8.8,4500.0,4907.689,5021.401833557349,4417.893862836576,4719.6478481969625
132,Trent Forrest,Guard,23.0,60.0,6.0,12.8,111.0,112.0,-2.3,1.2,50.6,23.07692307692308,7.1,21.4,463.211,505.176,1216.15931720705,783.3324374458165,999.7458773264332
133,Evan Fournier,Guard,29.0,80.0,80.0,29.5,109.0,113.0,-0.4,-0.3,54.1,8.264462809917356,4.8,9.4,17142.857,18695.958,12800.192315091988,14207.003463172237,13503.597889132114
134,De'Aaron Fox,Guard,24.0,59.0,59.0,35.3,107.0,117.0,0.6,-1.2,50.6,23.783783783783782,6.0,11.9,28103.5,30649.609,12937.947146076602,20769.87381146494,16853.91047877077
135,Wenyen Gabriel,Forward,24.0,26.0,5.0,13.8,113.0,113.0,-3.7,-2.1,52.7,23.809523809523807,14.5,11.1,522.015,569.306,698.2610129231845,924.7302632551306,811.4956380891575
136,Daniel Gafford,Center,23.0,72.0,53.0,20.1,134.0,111.0,1.1,0.5,69.3,26.31578947368421,15.6,12.0,1782.621,1944.122,4151.803056288569,2358.085127876149,3254.944092082359
137,Danilo Gallinari,Forward,33.0,66.0,18.0,25.3,120.0,117.0,1.0,-1.2,52.8,23.33333333333333,10.1,5.4,20475.0,22329.985,8714.400910768269,21191.77477538473,14953.087843076499
138,Darius Garland,Guard,22.0,68.0,68.0,35.7,112.0,112.0,3.4,-0.8,53.6,18.4971098265896,5.1,16.2,7040.88,7678.766,18071.230447693524,12322.631587109607,15196.931017401566
139,Usman Garuba,Forward,19.0,24.0,2.0,10.0,119.0,111.0,-1.8,0.9,48.9,11.111111111111112,19.1,11.3,2353.32,2566.525,853.4386718795848,2780.4992826570947,1816.9689772683398
140,Luka Garza,Center,23.0,32.0,5.0,12.2,114.0,116.0,-0.5,-2.0,50.3,26.08695652173913,13.9,9.4,925.258,1009.084,2394.863296008317,1794.5305597987153,2094.696927903516
141,Rudy Gay,Forward,35.0,55.0,1.0,18.9,110.0,110.0,-0.7,-0.3,50.7,15.942028985507248,12.8,10.2,5890.0,6423.619,6729.722799144243,5933.343512833119,6331.533155988682
142,Paul George,Forward,31.0,31.0,31.0,34.7,100.0,106.0,1.8,1.9,49.3,20.0,10.5,15.2,39344.97,42909.529,42640.4755074323,38786.94474752085,40713.710127476574
143,Taj Gibson,Center,36.0,52.0,4.0,18.2,127.0,110.0,-3.0,1.0,56.3,25.0,13.0,12.5,4910.0,5354.834,2486.82210946851,5101.080736817111,3793.95142314281
144,Josh Giddey,Forward,19.0,54.0,54.0,31.5,97.0,112.0,-1.2,0.3,46.1,8.064516129032258,12.7,19.5,5988.0,6530.498,14990.341317708988,3209.933753185327,9100.137535447157
145,Shai Gilgeous-Alexander,Guard,23.0,56.0,56.0,34.7,111.0,113.0,2.9,0.5,49.6,31.382978723404253,7.4,11.1,5495.532,5993.413,18600.47429820137,8324.681556827714,13462.577927514543
146,Anthony Gill,Forward,29.0,44.0,0.0,10.5,132.0,117.0,-0.6,-1.3,63.3,40.0,10.2,12.0,1517.981,1655.506,3211.4886699543754,5203.68938394583,4207.589026950102
147,Rudy Gobert,Center,29.0,66.0,66.0,32.1,137.0,103.0,2.9,1.7,71.3,59.74025974025974,25.0,14.5,35344.828,38546.983,24980.814401941545,35395.53469336996,30188.174547655755
148,Brandon Goodwin,Guard,26.0,36.0,5.0,13.9,104.0,110.0,-2.6,1.1,47.7,16.279069767441857,7.4,17.4,343.988,375.152,3255.790520656815,901.144002498287,2078.4672615775507
149,Aaron Gordon,Forward,26.0,75.0,75.0,31.7,115.0,114.0,0.5,-1.1,57.3,20.72072072072072,10.3,12.5,16409.091,17895.714,13748.420594578609,20021.505024781203,16884.962809679906
150,Eric Gordon,Guard,33.0,57.0,46.0,29.3,111.0,121.0,-0.1,-2.2,58.5,18.181818181818183,3.7,14.6,18218.818,19869.398,13035.35305337467,16842.310723768158,14938.831888571414
151,Devonte Graham,Guard,26.0,76.0,63.0,28.4,109.0,116.0,0.2,-1.2,48.1,14.953271028037385,4.5,10.7,11000.0,11996.573,7836.844220333928,10230.83517480447,9033.8396975692
152,Jerami Grant,Forward,27.0,47.0,47.0,31.9,109.0,114.0,1.4,-0.2,49.1,30.872483221476504,6.9,9.5,20002.5,21814.678,21859.578183571488,23371.991808712617,22615.78499614205
153,Danny Green,Forward,34.0,62.0,28.0,21.8,106.0,111.0,-1.4,0.8,55.50000000000001,3.8461538461538463,6.5,12.1,10000.0,10905.975,11455.43968612495,9496.689288633423,10476.064487379186
154,Draymond Green,Forward,31.0,46.0,44.0,28.9,109.0,103.0,-1.4,4.6,55.60000000000001,23.21428571428572,13.8,31.9,24026.712,26203.473,19378.213219466328,17366.667667662656,18372.44044356449
155,Jalen Green,Guard,19.0,67.0,67.0,31.9,105.0,120.0,-0.5,-2.4,50.8,19.718309859154928,5.8,11.3,8992.08,9806.74,9994.702684216272,9507.767313222106,9751.234998719188
156,JaMychal Green,Forward,31.0,67.0,8.0,16.2,114.0,109.0,-2.0,0.1,53.7,24.489795918367346,14.5,13.4,8200.0,8942.9,4943.5945924772395,7035.97004407695,5989.782318277095
157,Javonte Green,Forward,28.0,65.0,45.0,23.4,131.0,112.0,-0.6,0.7,59.7,24.0,10.2,7.6,1669.178,1820.401,8037.155568270709,2984.1174359381184,5510.636502104414
158,Jeff Green,Forward,35.0,75.0,63.0,24.7,119.0,115.0,-1.2,-1.3,57.4,30.98591549295775,7.0,10.3,4500.0,4907.689,7987.132721516471,5903.726873037235,6945.429797276853
159,Josh Green,Guard,21.0,67.0,3.0,15.5,114.0,109.0,-2.4,1.4,56.3,13.157894736842104,8.6,13.8,2957.52,3225.464,990.4958020050932,3624.431562685112,2307.463682345103
160,Blake Griffin,Center,32.0,56.0,24.0,17.1,115.0,113.0,-0.6,0.1,48.6,17.857142857142858,13.0,8.2,32405.817,35341.704,9855.114736341093,19746.491844931814,14800.803290636453
161,Quentin Grimes,Guard,21.0,46.0,6.0,17.1,111.0,111.0,-1.2,0.9,55.7,5.88235294117647,6.4,10.3,2168.64,2365.113,2385.2092912336957,2526.5785146591757,2455.8939029464354
162,Rui Hachimura,Forward,23.0,42.0,13.0,22.5,111.0,116.0,0.2,-1.7,56.3,12.08791208791209,9.4,7.4,4916.16,5361.552,4256.536852862742,4479.4119908277,4367.9744218452215
163,Tyrese Haliburton,Guard,21.0,77.0,77.0,35.0,119.0,115.0,2.7,-0.1,56.2,17.796610169491526,6.3,16.7,4023.6,4388.128,13792.289733395948,6491.675223068445,10141.982478232196
164,RJ Hampton,Guard,20.0,64.0,14.0,21.9,94.0,114.0,-4.0,-0.1,45.3,16.901408450704224,7.3,14.6,2303.04,2511.689,2554.779787272687,4301.430780888009,3428.105284080348
165,Tim Hardaway Jr,Guard,29.0,42.0,20.0,29.6,107.0,111.0,-0.4,0.2,49.1,15.07936507936508,7.0,5.6,21306.816,23237.161,11607.694202332494,16814.78940882672,14211.241805579608
166,James Harden,Guard,32.0,65.0,65.0,37.2,115.0,111.0,3.7,0.3,48.5,47.05882352941176,11.3,18.8,44310.84,48325.294,38445.643618408234,42551.79877795695,40498.7211981826
167,Montrezl Harrell,Center,28.0,71.0,3.0,23.1,134.0,114.0,3.7,0.1,64.9,38.46153846153847,14.4,9.5,9720.9,10601.59,10562.700610516167,9280.01631013426,9921.358460325213
168,Gary Harris,Guard,27.0,61.0,30.0,28.4,110.0,116.0,-2.0,-0.4,53.900000000000006,15.384615384615383,3.7,9.3,20932.143,22828.544,4312.8523610152915,14441.249360177857,9377.050860596573
169,Tobias Harris,Forward,29.0,73.0,73.0,34.8,113.0,112.0,0.6,-0.6,53.2,16.428571428571427,10.9,9.5,35995.95,39257.095,23420.302614946617,32466.357910732666,27943.33026283964
170,Josh Hart,Guard,26.0,54.0,53.0,33.2,117.0,113.0,0.5,0.5,56.89999999999999,28.57142857142857,12.0,14.7,12000.0,13087.17,14177.82571125744,18122.169949778192,16149.997830517816
171,Isaiah Hartenstein,Center,23.0,68.0,0.0,17.9,127.0,106.0,1.4,3.1,64.5,24.07407407407408,14.5,16.5,1729.217,1885.879,2720.4749622542386,2089.0118789600315,2404.743420607135
172,Sam Hauser,Forward,24.0,26.0,0.0,6.1,133.0,110.0,2.7,-0.3,65.0,0.0,9.9,3.8,619.498,675.623,1829.25298808282,817.9120056324574,1323.5824968576387
173,Jaxson Hayes,Center,21.0,70.0,28.0,20.0,132.0,113.0,0.6,-0.3,64.1,36.84210526315789,12.5,10.1,5348.28,5832.821,1942.605559715901,5191.1190129635315,3566.8622863397163
174,Killian Hayes,Guard,20.0,66.0,40.0,25.0,97.0,113.0,-4.3,0.8,43.1,12.85714285714286,6.9,18.4,5572.68,6077.551,2728.8322693221244,5578.043083264973,4153.437676293548
175,Gordon Hayward,Forward,31.0,49.0,48.0,31.9,113.0,116.0,0.1,-0.8,52.8,20.63492063492064,7.6,10.6,29925.0,32636.132,26321.76747008187,33742.13666637028,30031.952068226077
176,Willy Hernangomez,Center,27.0,50.0,8.0,16.8,122.0,111.0,1.8,-1.5,52.6,33.84615384615385,22.3,11.6,2327.22,2538.06,5527.899528763038,3903.7648673195654,4715.832198041302
177,Tyler Herro,Guard,22.0,66.0,10.0,32.6,107.0,111.0,1.6,-0.9,52.5,17.058823529411764,8.7,12.5,4004.28,4367.058,10562.234006693056,6882.236554811708,8722.235280752382
178,Buddy Hield,Guard,29.0,81.0,32.0,30.9,105.0,117.0,0.5,-1.7,52.6,10.294117647058822,7.8,11.7,23073.234,25163.613,20945.504409052675,22347.69369381717,21646.599051434925
179,George Hill,Guard,35.0,54.0,17.0,23.2,117.0,114.0,-2.2,0.6,50.4,21.5686274509804,6.6,11.9,5275.491,5753.437,4751.4470242613515,9229.017603342167,6990.232313801759
180,Aaron Holiday,Guard,25.0,63.0,15.0,16.2,108.0,113.0,-1.9,0.3,50.4,16.666666666666664,6.5,15.4,3980.551,4341.179,2502.7201199052856,3264.6146137067412,2883.6673668060134
181,Jrue Holiday,Guard,31.0,67.0,64.0,32.9,117.0,112.0,2.9,0.3,56.99999999999999,14.084507042253522,7.2,15.0,31171.333,33995.38,31196.769532522365,31119.30075273735,31158.03514262986
182,Justin Holiday,Forward,32.0,74.0,65.0,27.8,107.0,118.0,-1.4,-0.8,52.8,7.865168539325842,5.1,9.2,6006.42,6550.587,12148.143072409783,8278.057305976376,10213.10018919308
183,Richaun Holmes,Center,28.0,45.0,37.0,23.9,127.0,114.0,-0.4,-0.1,66.3,23.88059701492537,16.1,14.2,10384.5,11325.31,9489.27258539984,10065.451876311992,9777.362230855917
