,Player,2020/21,2020/21(*)
530,Jalen Harris,"$449,115","$516,211"
531,Cassius Winston,"$449,115","$516,211"
532,Yogi Ferrell,"$444,149","$510,503"
533,Noah Vonleh,"$427,725","$491,625"
534,Mason Jones,"$424,544","$487,968"
535,Brodric Thomas,"$412,202","$473,783"
536,Andre Roberson,"$411,639","$473,136"
537,Donta Hall,"$376,276","$432,490"
538,Brian Bowen,"$375,321","$431,392"
539,Anzejs Pasecniks,"$374,297","$430,215"
540,Freddie Gillespie,"$363,015","$417,248"
541,AJ Hammons,"$350,087","$402,388"
542,Karim Mane,"$344,557","$396,032"
543,Will Magnay,"$341,481","$392,497"
544,Greg Whittington,"$332,252","$381,889"
545,Raymond Spalding,"$289,156","$332,354"
546,Chasson Randle,"$279,927","$321,747"
547,Justin Patton,"$267,623","$307,604"
548,Gary Payton II,"$249,864","$287,192"
549,Mike James,"$237,648","$273,151"
550,Charlie Brown,"$217,844","$250,389"
551,Anthony Lamb,"$215,330","$247,499"
552,Justin Robinson,"$198,040","$227,626"
553,Axel Toupane,"$196,872","$226,284"
554,Henry Ellenson,"$168,983","$194,228"
555,Ashton Hagans,"$166,111","$190,927"
556,Isaiah Thomas,"$159,698","$183,556"
557,John Henson,"$158,907","$182,647"
558,Armoni Brooks,"$135,362","$155,584"
559,Jordan Bone,"$135,350","$155,570"
560,Jaylen Hoard,"$129,209","$148,512"
561,Justin Anderson,"$125,000","$143,674"
562,Amida Brimah,"$123,056","$141,440"
563,Didi Louzada,"$123,056","$141,440"
564,Troy Williams,"$122,741","$141,078"
565,James Nunnally,"$107,674","$123,760"
566,Demetrius Jackson,"$92,857","$106,729"
567,Dakota Mathias,"$86,132","$98,999"
568,Malik Fitts,"$61,528","$70,720"
569,Jeremiah Martin,"$58,452","$67,184"
570,Jerian Grant,"$50,000","$57,469"
571,Louis King,"$49,222","$56,575"
572,Cameron Oliver,"$43,070","$49,504"
573,Cam Reynolds,"$33,299","$38,273"
574,Tyler Hall,"$25,000","$28,734"
575,Andrew White,"$25,000","$28,734"
576,Elijah Bryant,"$24,611","$28,287"
577,Caleb Homesley,"$20,000","$22,987"
