,Player,2020/21,2020/21(*)
119,Paul Millsap,"$10,100,000","$11,608,905"
120,Rodney Hood,"$10,047,450","$11,548,505"
121,Deandre Ayton,"$10,018,200","$11,514,885"
122,Tomas Satoransky,"$10,000,000","$11,493,966"
123,Jayson Tatum,"$9,897,120","$11,375,716"
124,Anthony Edwards,"$9,757,440","$11,215,168"
125,Al-Farouq Aminu,"$9,720,900","$11,173,169"
126,Dante Exum,"$9,600,000","$11,034,207"
127,George Hill,"$9,590,602","$11,023,405"
128,De'Anthony Melton,"$9,571,712","$11,001,693"
129,Kyle Anderson,"$9,505,100","$10,925,129"
130,Meyers Leonard,"$9,400,000","$10,804,328"
131,Tristan Thompson,"$9,258,000","$10,641,113"
132,Serge Ibaka,"$9,258,000","$10,641,113"
133,Montrezl Harrell,"$9,258,000","$10,641,113"
134,Jae Crowder,"$9,258,000","$10,641,113"
135,Derrick Jones,"$9,258,000","$10,641,113"
136,Derrick Favors,"$9,258,000","$10,641,113"
137,Dario Saric,"$9,250,000","$10,631,918"
138,Ja Morant,"$9,166,800","$10,536,288"
139,Delon Wright,"$9,000,000","$10,344,569"
140,Marvin Bagley,"$8,963,640","$10,302,777"
141,Cedi Osman,"$8,840,580","$10,161,332"
142,Tyus Jones,"$8,817,143","$10,134,394"
143,James Wiseman,"$8,730,240","$10,034,508"
144,Royce O'Neale,"$8,500,000","$9,769,871"
145,Maxi Kleber,"$8,475,000","$9,741,136"
146,Thomas Bryant,"$8,333,333","$9,578,304"
147,RJ Barrett,"$8,231,760","$9,461,557"
148,Jakob Poeltl,"$8,101,852","$9,312,241"
149,De'Aaron Fox,"$8,099,627","$9,309,683"
150,Luka Doncic,"$8,049,360","$9,251,907"
151,Louis Williams,"$8,000,000","$9,195,172"
152,Mason Plumlee,"$8,000,000","$9,195,172"
153,PJ Tucker,"$7,969,537","$9,160,158"
154,LaMelo Ball,"$7,839,960","$9,011,223"
155,Seth Curry,"$7,834,449","$9,004,889"
156,Derrick Rose,"$7,682,926","$8,830,729"
157,Cristiano Felicio,"$7,529,020","$8,653,830"
158,Rajon Rondo,"$7,500,000","$8,620,474"
159,De'Andre Hunter,"$7,422,000","$8,530,821"
160,Jonathan Isaac,"$7,362,565","$8,462,507"
161,Doug McDermott,"$7,333,333","$8,428,908"
162,Robin Lopez,"$7,300,000","$8,390,595"
163,Jaren Jackson Jr,"$7,257,360","$8,341,585"
164,JaMychal Green,"$7,199,760","$8,275,379"
165,Nemanja Bjelica,"$7,150,000","$8,218,185"
166,Patrick Williams,"$7,068,360","$8,124,349"
167,Ivica Zubac,"$7,000,000","$8,045,776"
168,Darius Miller,"$7,000,000","$8,045,776"
169,Aron Baynes,"$7,000,000","$8,045,776"
170,Jabari Parker,"$6,930,729","$7,966,156"
171,Lauri Markkanen,"$6,731,508","$7,737,172"
172,Darius Garland,"$6,720,720","$7,724,772"
173,DJ Augustin,"$6,666,667","$7,662,644"
174,Trae Young,"$6,571,800","$7,553,604"
175,Chris Boucher,"$6,500,000","$7,471,078"
176,Juan Hernangomez,"$6,493,000","$7,463,032"
177,Joakim Noah,"$6,431,666","$7,392,535"
178,Isaac Okoro,"$6,400,920","$7,357,195"
179,Frank Ntilikina,"$6,176,578","$7,099,337"
180,DeMarre Carroll,"$6,119,676","$7,033,934"
181,Jarrett Culver,"$6,104,280","$7,016,238"
182,Alec Burks,"$6,000,000","$6,896,379"
183,Ishmael Smith,"$6,000,000","$6,896,379"
184,Mo Bamba,"$5,969,040","$6,860,794"
185,Onyeka Okongwu,"$5,813,640","$6,682,178"
186,Justin Holiday,"$5,720,400","$6,575,008"
187,Dennis Smith,"$5,686,677","$6,536,247"
188,Avery Bradley,"$5,635,000","$6,476,849"
189,Timofey Mozgov,"$5,573,333","$6,405,970"
190,Coby White,"$5,572,680","$6,405,219"
191,Trey Lyles,"$5,500,000","$6,321,681"
192,Wendell Carter,"$5,448,840","$6,262,878"
193,Zach Collins,"$5,406,255","$6,213,931"
194,Malik Monk,"$5,345,687","$6,144,314"
195,Killian Hayes,"$5,307,120","$6,099,985"
196,Luke Kennard,"$5,273,826","$6,061,717"
197,Ryan Anderson,"$5,214,583","$5,993,624"
198,Donovan Mitchell,"$5,195,501","$5,971,691"
199,Rodney McGruder,"$5,192,307","$5,968,020"
200,Bam Adebayo,"$5,115,492","$5,879,729"
201,Justin Jackson,"$5,109,637","$5,872,998"
202,Jaxson Hayes,"$5,105,160","$5,867,853"
203,Ed Davis,"$5,005,350","$5,753,132"
204,Mike Scott,"$5,005,350","$5,753,132"
205,Enes Kanter,"$5,005,350","$5,753,132"
206,Richaun Holmes,"$5,005,350","$5,753,132"
207,Daniel Theis,"$5,000,000","$5,746,983"
208,Luol Deng,"$5,000,000","$5,746,983"
209,Nerlens Noel,"$5,000,000","$5,746,983"
210,Collin Sexton,"$4,991,880","$5,737,649"
211,Pat Connaughton,"$4,938,273","$5,676,034"
212,Obi Toppin,"$4,862,040","$5,588,412"
213,Kevon Looney,"$4,821,429","$5,541,734"
214,Kris Dunn,"$4,767,000","$5,479,173"
215,Garrett Temple,"$4,767,000","$5,479,173"
216,Josh Jackson,"$4,767,000","$5,479,173"
217,Elfrid Payton,"$4,767,000","$5,479,173"
218,Rui Hachimura,"$4,692,840","$5,393,934"
219,Denzel Valentine,"$4,642,800","$5,336,418"
220,Kevin Knox,"$4,588,680","$5,274,213"
221,DJ Wilson,"$4,548,280","$5,227,777"
222,Deni Avdija,"$4,469,160","$5,136,837"
223,Cam Reddish,"$4,458,000","$5,124,010"
224,TJ Leaf,"$4,431,423","$5,093,462"
225,Mikal Bridges,"$4,359,000","$5,010,219"
226,Jalen Smith,"$4,245,720","$4,880,016"
227,Cameron Johnson,"$4,235,160","$4,867,878"
228,JaVale McGee,"$4,200,000","$4,827,465"
229,Reggie Bullock,"$4,200,000","$4,827,465"
230,Shai Gilgeous-Alexander,"$4,141,320","$4,760,019"
231,John Collins,"$4,137,302","$4,755,400"
232,Willie Cauley-Stein,"$4,100,000","$4,712,526"
233,Devin Vassell,"$4,033,440","$4,636,022"
234,PJ Washington,"$4,023,600","$4,624,712"
235,Dorian Finney-Smith,"$4,000,000","$4,597,586"
236,Patrick McCaw,"$4,000,000","$4,597,586"
237,Alex Len,"$3,970,648","$4,563,848"
238,Terrance Ferguson,"$3,944,013","$4,533,235"
239,Miles Bridges,"$3,934,320","$4,522,094"
240,Austin Rivers,"$3,929,049","$4,516,035"
241,Jevon Carter,"$3,925,000","$4,511,381"
242,Jarrett Allen,"$3,909,902","$4,494,028"
243,Nicolo Melli,"$3,897,436","$4,479,699"
244,OG Anunoby,"$3,872,215","$4,450,710"
245,Gabriel Deck,"$3,870,370","$4,448,590"
246,Tyrese Haliburton,"$3,831,840","$4,404,303"
247,Tyler Herro,"$3,822,240","$4,393,269"
248,Patrick Patterson,"$3,814,771","$4,384,684"
249,Stanley Johnson,"$3,804,150","$4,372,477"
250,Jake Layman,"$3,761,085","$4,322,978"
251,Jerome Robinson,"$3,737,520","$4,295,892"
252,Danuel House,"$3,717,000","$4,272,307"
253,Kira Lewis,"$3,640,200","$4,184,033"
254,Romeo Langford,"$3,631,200","$4,173,689"
255,Wesley Matthews,"$3,623,000","$4,164,263"
256,Bobby Portis,"$3,623,000","$4,164,263"
257,Moe Harkless,"$3,623,000","$4,164,263"
258,Wayne Ellington,"$3,564,753","$4,097,314"
259,Kyle Kuzma,"$3,562,178","$4,094,355"
260,Michael Porter,"$3,550,800","$4,081,277"
261,Tony Bradley,"$3,542,060","$4,071,231"
262,Derrick White,"$3,516,284","$4,041,604"
263,Bismack Biyombo,"$3,500,000","$4,022,888"
264,Boban Marjanovic,"$3,500,000","$4,022,888"
265,TJ McConnell,"$3,500,000","$4,022,888"
266,Luca Vildoza,"$3,500,000","$4,022,888"
267,Josh Hart,"$3,491,159","$4,012,726"
268,Aaron Nesmith,"$3,458,400","$3,975,073"
269,Sekou Doumbouya,"$3,449,400","$3,964,728"
270,Dewayne Dedmon,"$3,447,478","$3,962,519"
271,Troy Brown,"$3,372,840","$3,876,730"
272,Jeff Teague,"$3,372,826","$3,876,714"
273,Michael Carter-Williams,"$3,300,000","$3,793,008"
274,James Ennis,"$3,300,000","$3,793,008"
275,Cole Anthony,"$3,285,120","$3,775,905"
276,Taj Gibson,"$3,283,684","$3,774,255"
277,Facundo Campazzo,"$3,200,000","$3,678,069"
278,Jon Leuer,"$3,169,348","$3,642,837"
279,Isaiah Stewart,"$3,121,080","$3,587,358"
280,Chuma Okeke,"$3,121,080","$3,587,358"
281,Nickeil Alexander-Walker,"$3,113,160","$3,578,255"
282,DeMarcus Cousins,"$3,051,832","$3,507,765"
283,Donte DiVincenzo,"$3,044,160","$3,498,947"
284,Khem Birch,"$3,011,499","$3,461,406"
285,Ryan Arcidiacono,"$3,000,000","$3,448,189"
286,Trey Burke,"$3,000,000","$3,448,189"
287,Aleksej Pokusevski,"$2,964,840","$3,407,777"
288,Goga Bitadze,"$2,957,520","$3,399,363"
289,Lonnie Walker,"$2,895,720","$3,328,330"
290,Ben McLemore,"$2,893,630","$3,325,927"
291,Andrew Nicholson,"$2,844,429","$3,269,377"
292,Luka Samanic,"$2,824,320","$3,246,263"
293,Josh Green,"$2,816,760","$3,237,574"
294,Kevin Huerter,"$2,761,920","$3,174,541"
295,Alex Caruso,"$2,750,000","$3,160,840"
296,Marko Guduric,"$2,750,000","$3,160,840"
297,Matisse Thybulle,"$2,711,280","$3,116,336"
298,Saddiq Bey,"$2,689,920","$3,091,784"
299,Josh Okogie,"$2,651,040","$3,047,096"
300,Vincent Poirier,"$2,619,207","$3,010,507"
301,Brandon Clarke,"$2,602,920","$2,991,787"
302,Precious Achiuwa,"$2,582,160","$2,967,925"
303,Jeff Green,"$2,564,753","$2,947,918"
304,Jose Juan Barea,"$2,564,753","$2,947,918"
305,Marc Gasol,"$2,564,753","$2,947,918"
306,Jared Dudley,"$2,564,753","$2,947,918"
307,Udonis Haslem,"$2,564,753","$2,947,918"
308,Dwight Howard,"$2,564,753","$2,947,918"
309,Carmelo Anthony,"$2,564,753","$2,947,918"
310,Grayson Allen,"$2,545,320","$2,925,582"
311,Grant Williams,"$2,498,760","$2,872,066"
312,Tyrese Maxey,"$2,478,840","$2,849,170"
313,Chandler Hutchison,"$2,443,440","$2,808,481"
314,Mfiondu Kabengele,"$2,432,353","$2,795,737"
315,Darius Bazley,"$2,399,160","$2,757,586"
316,Moritz Wagner,"$2,383,915","$2,740,063"
317,Zeke Nnaji,"$2,379,840","$2,735,380"
318,Aaron Holiday,"$2,345,640","$2,696,070"
319,Bryn Forbes,"$2,337,145","$2,686,306"
320,Reggie Jackson,"$2,331,593","$2,679,925"
321,Markieff Morris,"$2,331,593","$2,679,925"
322,E'Twaun Moore,"$2,331,593","$2,679,925"
323,Kent Bazemore,"$2,320,044","$2,666,650"
324,Hassan Whiteside,"$2,320,044","$2,666,650"
325,Ty Jerome,"$2,303,040","$2,647,106"
326,Mike Muscala,"$2,283,034","$2,624,111"
327,Anfernee Simons,"$2,252,040","$2,588,487"
328,Luke Kornet,"$2,250,000","$2,586,142"
329,Brad Wanamaker,"$2,250,000","$2,586,142"
330,Monta Ellis,"$2,245,400","$2,580,855"
331,Nassir Little,"$2,210,640","$2,540,902"
332,RJ Hampton,"$2,193,480","$2,521,178"
333,Solomon Hill,"$2,174,318","$2,499,153"
334,Matthew Dellavedova,"$2,174,318","$2,499,153"
335,Edmond Sumner,"$2,160,000","$2,482,696"
336,Anderson Varejao,"$2,141,713","$2,461,677"
337,Dylan Windler,"$2,137,440","$2,456,766"
338,Immanuel Quickley,"$2,105,520","$2,420,077"
339,John Konchar,"$2,100,000","$2,413,732"
340,Landry Shamet,"$2,090,040","$2,402,284"
341,Jordan Poole,"$2,063,280","$2,371,527"
342,Bol Bol,"$2,058,240","$2,365,734"
343,Keldon Johnson,"$2,048,040","$2,354,010"
344,Payton Pritchard,"$2,035,800","$2,339,941"
345,Robert Williams,"$2,029,920","$2,333,183"
346,Tyler Johnson,"$2,028,594","$2,331,659"
347,Bruno Caboclo,"$2,028,594","$2,331,659"
348,Langston Galloway,"$2,028,594","$2,331,659"
349,Gary Clark,"$2,018,458","$2,320,008"
350,Jacob Evans,"$2,017,320","$2,318,700"
351,Spencer Hawes,"$2,007,058","$2,306,905"
352,Dzanan Musa,"$2,002,800","$2,302,011"
353,Damyean Dotson,"$2,000,000","$2,298,793"
354,Kenrich Williams,"$2,000,000","$2,298,793"
355,Theo Maledon,"$2,000,000","$2,298,793"
356,Omari Spellman,"$1,988,280","$2,285,322"
357,Quinn Cook,"$1,981,649","$2,277,700"
358,Mario Hezonja,"$1,977,011","$2,272,369"
359,Cameron Payne,"$1,977,011","$2,272,369"
360,Udoka Azubuike,"$1,977,000","$2,272,357"
361,Jaden McDaniels,"$1,964,760","$2,258,288"
362,Malachi Flynn,"$1,950,600","$2,242,013"
363,Desmond Bane,"$1,936,440","$2,225,737"
364,Jontay Porter,"$1,900,000","$2,183,853"
365,Jahlil Okafor,"$1,882,867","$2,164,160"
366,JaKarr Sampson,"$1,882,867","$2,164,160"
367,Raul Neto,"$1,882,867","$2,164,160"
368,Larry Sanders,"$1,865,546","$2,144,252"
369,Timothe Luwawu,"$1,824,003","$2,096,502"
370,David Nwaba,"$1,824,003","$2,096,502"
371,Marquese Chriss,"$1,824,003","$2,096,502"
372,Georges Niang,"$1,783,557","$2,050,014"
373,Rodions Kurucs,"$1,780,152","$2,046,100"
374,PJ Dozier,"$1,762,796","$2,026,151"
375,Damion Lee,"$1,762,796","$2,026,151"
376,Alfonzo McKinnie,"$1,762,796","$2,026,151"
377,Furkan Korkmaz,"$1,762,796","$2,026,151"
378,Semi Ojeleye,"$1,752,950","$2,014,834"
379,Abdel Nader,"$1,752,950","$2,014,834"
380,Thon Maker,"$1,737,145","$1,996,668"
381,Willy Hernangomez,"$1,737,145","$1,996,668"
382,Frank Kaminsky,"$1,737,145","$1,996,668"
383,DeAndre Bembry,"$1,737,145","$1,996,668"
384,Monte Morris,"$1,723,707","$1,981,222"
385,Kevin Porter,"$1,717,981","$1,974,641"
386,Brandon Goodwin,"$1,701,593","$1,955,805"
387,Thanasis Antetokounmpo,"$1,701,593","$1,955,805"
388,Shake Milton,"$1,701,593","$1,955,805"
389,Ignas Brazdeikis,"$1,686,315","$1,938,244"
390,Sterling Brown,"$1,678,854","$1,929,669"
391,Wesley Iwundu,"$1,678,854","$1,929,669"
392,Dwayne Bacon,"$1,678,854","$1,929,669"
393,Torrey Craig,"$1,678,854","$1,929,669"
394,Bruce Brown,"$1,663,861","$1,912,436"
395,Devonte Graham,"$1,663,861","$1,912,436"
396,Jalen Brunson,"$1,663,861","$1,912,436"
397,Hamidou Diallo,"$1,663,861","$1,912,436"
398,Duncan Robinson,"$1,663,861","$1,912,436"
399,Kendrick Nunn,"$1,663,861","$1,912,436"
400,Jarred Vanderbilt,"$1,663,861","$1,912,436"
401,Mitchell Robinson,"$1,663,861","$1,912,436"
402,Sviatoslav Mykhailiuk,"$1,663,861","$1,912,436"
403,Gary Trent Jr,"$1,663,861","$1,912,436"
404,Isaac Bonga,"$1,663,861","$1,912,436"
405,Isaiah Hartenstein,"$1,620,564","$1,862,670"
406,Wenyen Gabriel,"$1,620,564","$1,862,670"
407,Josh Gray,"$1,620,564","$1,862,670"
408,Harry Giles,"$1,620,564","$1,862,670"
409,Drew Eubanks,"$1,620,564","$1,862,670"
410,Bruno Fernando,"$1,517,981","$1,744,762"
411,Carsen Edwards,"$1,517,981","$1,744,762"
412,Nicolas Claxton,"$1,517,981","$1,744,762"
413,Cody Martin,"$1,517,981","$1,744,762"
414,Caleb Martin,"$1,517,981","$1,744,762"
415,Jalen McDaniels,"$1,517,981","$1,744,762"
416,Javonte Green,"$1,517,981","$1,744,762"
417,Dean Wade,"$1,517,981","$1,744,762"
418,Vlatko Cancar,"$1,517,981","$1,744,762"
419,Eric Paschall,"$1,517,981","$1,744,762"
420,Alen Smailagic,"$1,517,981","$1,744,762"
421,Mychal Mulder,"$1,517,981","$1,744,762"
422,Chris Clemons,"$1,517,981","$1,744,762"
423,Jalen Lecque,"$1,517,981","$1,744,762"
424,Terance Mann,"$1,517,981","$1,744,762"
425,Talen Horton-Tucker,"$1,517,981","$1,744,762"
426,KZ Okpala,"$1,517,981","$1,744,762"
427,Naz Reid,"$1,517,981","$1,744,762"
428,Jaylen Nowell,"$1,517,981","$1,744,762"
429,Luguentz Dort,"$1,517,981","$1,744,762"
430,Isaiah Roby,"$1,517,981","$1,744,762"
431,Admiral Schofield,"$1,517,981","$1,744,762"
432,Justin James,"$1,517,981","$1,744,762"
433,Terence Davis,"$1,517,981","$1,744,762"
434,Chris Silva,"$1,517,981","$1,744,762"
435,Miye Oni,"$1,517,981","$1,744,762"
436,Juwan Morgan,"$1,517,981","$1,744,762"
437,Matt Thomas,"$1,517,981","$1,744,762"
438,Daniel Gafford,"$1,517,981","$1,744,762"
439,Robert Woodard,"$1,500,000","$1,724,094"
440,Damian Jones,"$1,487,284","$1,709,477"
441,JR Smith,"$1,456,667","$1,674,288"
