,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
56,Malcolm Brogdon,Guard,28.0,56.0,56.0,34.5,3.0,-0.9,113.0,115.0,20700000,23792509
57,Armoni Brooks,Guard,22.0,20.0,5.0,26.0,-1.1,-2.1,105.0,117.0,135362,155584
58,Dillon Brooks,Forward,25.0,67.0,67.0,29.8,-2.6,-1.1,102.0,113.0,11400000,13103121
59,Bruce Brown,Guard,24.0,65.0,37.0,22.3,-0.4,0.2,124.0,112.0,1663861,1912436
60,Jaylen Brown,Guard,24.0,58.0,58.0,34.5,3.2,-0.7,112.0,113.0,25035118,28775279
61,Moses Brown,Center,21.0,43.0,32.0,21.4,-1.3,-1.2,117.0,109.0,1250000,1436745
62,Sterling Brown,Guard,25.0,51.0,14.0,24.1,-1.6,0.0,114.0,116.0,1678854,1929669
63,Troy Brown,Forward,21.0,34.0,0.0,15.4,-3.3,-0.6,103.0,114.0,3372840,3876730
64,Jalen Brunson,Guard,24.0,68.0,12.0,25.0,1.5,-0.6,123.0,116.0,1663861,1912436
65,Reggie Bullock,Forward,29.0,65.0,64.0,30.0,-0.9,0.8,118.0,111.0,4200000,4827465
66,Trey Burke,Guard,28.0,62.0,1.0,14.7,-1.4,-0.4,110.0,115.0,3000000,3448189
67,Alec Burks,Guard,29.0,49.0,5.0,25.6,0.9,0.6,114.0,109.0,6000000,6896379
68,Jimmy Butler,Forward,31.0,52.0,52.0,33.6,5.4,2.3,127.0,108.0,34379100,39515221
69,Devontae Cacok,Forward,24.0,20.0,1.0,4.9,-1.5,0.4,111.0,102.0,449115,516211
70,Kentavious Caldwell-Pope,Guard,27.0,67.0,67.0,28.4,-1.6,1.0,114.0,109.0,12073020,13876688
71,Facundo Campazzo,Guard,29.0,65.0,19.0,21.9,-1.7,1.2,117.0,112.0,3200000,3678069
72,Vlatko Cancar,Forward,23.0,41.0,1.0,6.9,-2.6,0.0,104.0,112.0,1517981,1744762
73,Clint Capela,Center,26.0,63.0,63.0,30.1,2.7,0.0,125.0,106.0,18000000,20689139
74,Jevon Carter,Guard,25.0,60.0,1.0,12.0,-0.4,0.9,115.0,111.0,3925000,4511381
75,Wendell Carter,Center,21.0,54.0,44.0,25.5,-1.1,-0.2,114.0,111.0,5448840,6262878
76,Michael Carter-Williams,Guard,29.0,31.0,25.0,25.8,-4.6,-0.2,93.0,115.0,3300000,3793008
77,Alex Caruso,Guard,26.0,58.0,6.0,21.0,-2.5,2.5,106.0,106.0,2750000,3160840
78,Willie Cauley-Stein,Center,27.0,53.0,16.0,17.1,-2.2,0.9,128.0,110.0,4100000,4712526
79,Chris Chiozza,Guard,25.0,22.0,1.0,10.5,-0.1,-0.6,108.0,115.0,449115,516211
80,Gary Clark,Forward,26.0,39.0,11.0,16.8,-4.2,-0.7,97.0,117.0,2018458,2320008
81,Brandon Clarke,Forward,24.0,59.0,16.0,24.0,0.4,1.2,119.0,109.0,2602920,2991787
82,Jordan Clarkson,Guard,28.0,68.0,1.0,26.7,1.8,-0.4,109.0,110.0,11500000,13218061
83,Nicolas Claxton,Center,21.0,32.0,1.0,18.6,-1.0,1.4,124.0,108.0,1517981,1744762
84,Amir Coffey,Guard,23.0,44.0,1.0,9.0,-1.9,-0.1,115.0,114.0,578842,665319
85,John Collins,Forward,23.0,63.0,63.0,29.3,2.5,-0.2,125.0,112.0,4137302,4755400
86,Mike Conley,Guard,33.0,51.0,51.0,29.4,3.6,1.3,123.0,109.0,34502132,39656633
87,Pat Connaughton,Guard,28.0,69.0,4.0,22.8,-0.5,0.5,121.0,112.0,4938273,5676034
88,Quinn Cook,Guard,27.0,23.0,0.0,6.8,-1.0,-0.2,107.0,114.0,1981649,2277700
89,Tyler Cook,Forward,23.0,32.0,1.0,13.7,-2.2,-0.9,118.0,115.0,693141,796693
90,DeMarcus Cousins,Center,30.0,41.0,11.0,17.4,-1.2,1.6,103.0,107.0,3051832,3507765
91,Robert Covington,Forward,30.0,70.0,70.0,32.0,-1.3,1.5,113.0,112.0,12138345,13951772
92,Torrey Craig,Forward,30.0,50.0,8.0,16.1,-0.3,0.7,120.0,109.0,1678854,1929669
93,Jae Crowder,Forward,30.0,60.0,42.0,27.5,0.3,0.8,113.0,111.0,9258000,10641113
94,Jarrett Culver,Guard,21.0,34.0,7.0,14.7,-4.5,-1.1,96.0,115.0,6104280,7016238
95,Seth Curry,Guard,30.0,57.0,57.0,28.7,0.1,-0.4,118.0,112.0,7834449,9004889
96,Stephen Curry,Guard,32.0,63.0,63.0,34.2,8.3,0.4,119.0,111.0,43006362,49431367
97,Anthony Davis,Forward,27.0,36.0,36.0,32.3,2.6,2.2,110.0,104.0,32742000,37633544
98,Ed Davis,Center,31.0,23.0,7.0,13.0,-3.3,1.1,130.0,110.0,5005350,5753132
99,Terence Davis,Guard,23.0,61.0,4.0,17.6,-0.9,-0.9,104.0,115.0,1517981,1744762
100,DeMar DeRozan,Forward,31.0,61.0,61.0,33.7,3.2,-0.1,122.0,115.0,27739975,31884233
101,Hamidou Diallo,Forward,22.0,52.0,9.0,23.6,-2.2,0.1,106.0,112.0,1663861,1912436
102,Gorgui Dieng,Center,31.0,38.0,1.0,14.5,1.8,1.5,127.0,109.0,17587688,20215228
103,Donte DiVincenzo,Guard,24.0,66.0,66.0,27.5,-0.2,0.4,112.0,112.0,3044160,3498947
104,Luka Doncic,Guard,21.0,66.0,66.0,34.3,6.1,0.7,114.0,111.0,8049360,9251907
105,Luguentz Dort,Guard,21.0,52.0,52.0,29.7,-2.6,-0.9,100.0,116.0,1517981,1744762
106,Damyean Dotson,Guard,26.0,46.0,7.0,19.7,-3.4,-1.4,99.0,118.0,2000000,2298793
107,Sekou Doumbouya,Forward,20.0,56.0,11.0,15.5,-5.4,-1.3,93.0,114.0,3449400,3964728
108,PJ Dozier,Guard,24.0,50.0,6.0,21.8,-2.3,-0.4,104.0,113.0,1762796,2026151
109,Goran Dragic,Guard,34.0,50.0,11.0,26.7,-1.1,-1.3,104.0,114.0,18000000,20689139
110,Andre Drummond,Center,27.0,46.0,46.0,27.0,-1.7,0.5,101.0,104.0,28751774,33047190
111,Kevin Durant,Forward,32.0,35.0,32.0,33.1,6.4,0.8,122.0,112.0,40108950,46101091
112,Anthony Edwards,Guard,19.0,72.0,55.0,32.1,-0.4,-1.7,102.0,116.0,9757440,11215168
113,Carsen Edwards,Guard,22.0,31.0,1.0,8.9,-3.2,-1.3,108.0,116.0,1517981,1744762
114,CJ Elleby,Forward,20.0,30.0,0.0,6.4,-4.0,-0.9,105.0,117.0,898310,1032514
115,Wayne Ellington,Guard,33.0,46.0,31.0,22.0,1.1,-1.3,118.0,117.0,3564753,4097314
116,Joel Embiid,Center,26.0,51.0,51.0,31.1,6.3,1.2,121.0,104.0,29542010,33955486
117,James Ennis,Forward,30.0,41.0,37.0,24.0,-1.9,-0.3,120.0,115.0,3300000,3793008
