,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
247,Theo Maledon,Guard,19.0,65.0,49.0,27.4,-4.0,-1.0,94.0,116.0,2000000,2298793
248,Terance Mann,Guard,24.0,67.0,10.0,18.9,-0.5,0.3,125.0,112.0,1517981,1744762
249,Nico Mannion,Guard,19.0,30.0,1.0,12.1,-3.4,-0.5,99.0,111.0,449115,516211
250,Boban Marjanovic,Center,32.0,33.0,3.0,8.2,1.9,-2.6,121.0,111.0,3500000,4022888
251,Lauri Markkanen,Forward,23.0,51.0,26.0,25.8,1.0,-0.9,115.0,113.0,6731508,7737172
252,Naji Marshall,Forward,23.0,32.0,10.0,21.9,-2.1,0.8,106.0,113.0,538391,618824
253,Caleb Martin,Forward,25.0,53.0,3.0,15.4,-3.6,0.2,99.0,112.0,1517981,1744762
254,Cody Martin,Forward,25.0,52.0,10.0,16.3,-2.7,0.7,107.0,113.0,1517981,1744762
255,Kelan Martin,Forward,25.0,35.0,0.0,9.2,-1.1,-1.3,105.0,111.0,1445697,1661679
256,KJ Martin,Forward,20.0,45.0,8.0,23.7,-1.4,-0.4,117.0,114.0,898310,1032514
257,Garrison Mathews,Guard,24.0,64.0,24.0,16.2,-1.7,-0.1,130.0,116.0,688052,790844
258,Wesley Matthews,Guard,34.0,58.0,10.0,19.5,-3.1,1.4,106.0,110.0,3623000,4164263
259,Tyrese Maxey,Guard,20.0,61.0,8.0,15.3,-1.0,-0.5,110.0,111.0,2478840,2849170
260,Skylar Mays,Guard,23.0,33.0,0.0,8.2,1.2,0.7,121.0,113.0,532218,611729
261,CJ McCollum,Guard,29.0,47.0,47.0,34.0,5.0,-1.1,120.0,118.0,29354152,33739563
262,TJ McConnell,Guard,28.0,69.0,3.0,26.0,-0.2,1.7,117.0,110.0,3500000,4022888
263,Jaden McDaniels,Forward,20.0,63.0,27.0,24.0,-3.3,-0.2,108.0,116.0,1964760,2258288
264,Jalen McDaniels,Forward,23.0,47.0,18.0,19.2,-2.8,-0.4,107.0,113.0,1517981,1744762
265,Doug McDermott,Forward,29.0,66.0,29.0,24.5,1.4,-2.0,121.0,118.0,7333333,8428908
266,JaVale McGee,Center,33.0,46.0,2.0,14.7,-3.3,0.8,102.0,107.0,4200000,4827465
267,Alfonzo McKinnie,Forward,28.0,39.0,0.0,6.6,0.3,-0.8,123.0,110.0,1762796,2026151
268,Jordan McLaughlin,Guard,24.0,51.0,2.0,18.4,-2.0,0.2,110.0,115.0,503760,579020
269,Ben McLemore,Guard,27.0,53.0,5.0,17.1,-2.7,-1.2,99.0,115.0,2893630,3325927
270,Nicolo Melli,Forward,30.0,45.0,4.0,12.6,-3.5,0.0,106.0,114.0,3897436,4479699
271,De'Anthony Melton,Guard,22.0,52.0,1.0,20.1,0.6,1.7,110.0,109.0,9571712,11001693
272,Sam Merrill,Guard,24.0,30.0,2.0,7.8,-0.7,-0.3,118.0,114.0,898310,1032514
273,Chimezie Metu,Center,23.0,36.0,6.0,13.6,-2.2,-1.3,109.0,116.0,910895,1046979
274,Khris Middleton,Forward,29.0,68.0,68.0,33.4,1.7,-0.3,116.0,113.0,33051724,37989539
275,Paul Millsap,Forward,35.0,56.0,36.0,20.8,0.3,0.7,117.0,110.0,10100000,11608905
276,Shake Milton,Guard,24.0,63.0,4.0,23.2,-0.7,-1.0,109.0,112.0,1701593,1955805
277,Donovan Mitchell,Guard,24.0,53.0,53.0,33.4,4.6,-0.2,115.0,110.0,5195501,5971691
278,Malik Monk,Guard,22.0,42.0,0.0,20.9,0.2,-2.0,108.0,116.0,5345687,6144314
279,E'Twaun Moore,Guard,31.0,27.0,1.0,14.4,-3.1,0.2,103.0,112.0,2331593,2679925
280,Ja Morant,Guard,21.0,63.0,63.0,32.6,1.3,-1.6,108.0,115.0,9166800,10536288
281,Juwan Morgan,Forward,23.0,29.0,0.0,5.1,-3.5,1.2,116.0,110.0,1517981,1744762
282,Marcus Morris,Forward,31.0,57.0,29.0,26.4,0.9,-0.8,117.0,113.0,14883721,17107298
283,Markieff Morris,Forward,31.0,61.0,27.0,19.7,-2.9,0.3,101.0,108.0,2331593,2679925
284,Monte Morris,Guard,25.0,47.0,13.0,25.4,0.1,-0.5,121.0,115.0,1723707,1981222
285,Mychal Mulder,Guard,26.0,60.0,6.0,12.8,-0.6,-1.2,113.0,115.0,1517981,1744762
286,Dejounte Murray,Guard,24.0,67.0,67.0,31.9,-0.2,1.0,106.0,111.0,14286000,16420280
287,Jamal Murray,Guard,23.0,48.0,48.0,35.5,2.7,-0.7,116.0,114.0,27285000,31361286
288,Mike Muscala,Center,29.0,35.0,0.0,18.4,0.9,-1.0,116.0,115.0,2283034,2624111
289,Abdel Nader,Forward,27.0,24.0,0.0,14.8,-1.0,1.0,111.0,111.0,1752950,2014834
290,Aaron Nesmith,Forward,21.0,46.0,1.0,14.5,-2.8,-0.4,113.0,114.0,3458400,3975073
291,Raul Neto,Guard,28.0,64.0,22.0,21.9,-1.4,0.9,115.0,113.0,1882867,2164160
292,Georges Niang,Forward,27.0,72.0,10.0,16.0,-0.4,0.1,114.0,111.0,1783557,2050014
293,Zeke Nnaji,Forward,20.0,42.0,1.0,9.5,-0.6,-1.1,124.0,115.0,2379840,2735380
294,Nerlens Noel,Center,26.0,64.0,41.0,24.2,-2.4,3.8,121.0,101.0,5000000,5746983
295,Jaylen Nowell,Guard,21.0,42.0,0.0,18.1,-1.5,-1.4,107.0,117.0,1517981,1744762
296,Frank Ntilikina,Guard,22.0,33.0,4.0,9.8,-4.2,2.5,102.0,108.0,6176578,7099337
297,Kendrick Nunn,Guard,25.0,56.0,44.0,29.5,-0.1,-0.4,111.0,113.0,1663861,1912436
298,Jusuf Nurkic,Center,26.0,37.0,37.0,23.8,0.7,1.8,113.0,109.0,12888889,14814445
299,David Nwaba,Forward,28.0,30.0,9.0,22.6,-1.4,0.6,115.0,114.0,1824003,2096502
300,Jordan Nwora,Forward,22.0,30.0,2.0,9.1,-0.7,-0.4,102.0,108.0,898310,1032514
301,Royce O'Neale,Forward,27.0,71.0,71.0,31.6,-1.2,2.1,121.0,108.0,8500000,9769871
302,Semi Ojeleye,Forward,26.0,56.0,15.0,17.0,-1.7,-0.7,114.0,116.0,1752950,2014834
303,Jahlil Okafor,Center,25.0,27.0,2.0,12.9,-2.5,-0.7,114.0,115.0,1882867,2164160
304,Chuma Okeke,Forward,22.0,45.0,19.0,25.2,-1.9,0.5,107.0,114.0,3121080,3587358
305,Josh Okogie,Guard,22.0,59.0,37.0,20.3,-3.7,0.3,109.0,116.0,2651040,3047096
306,Onyeka Okongwu,Center,20.0,50.0,4.0,12.0,-2.2,0.8,125.0,109.0,5813640,6682178
307,Isaac Okoro,Guard,20.0,67.0,67.0,32.4,-4.2,-0.9,103.0,117.0,6400920,7357195
308,KZ Okpala,Forward,21.0,37.0,9.0,12.1,-6.5,-0.6,94.0,113.0,1517981,1744762
309,Victor Oladipo,Guard,28.0,33.0,33.0,32.7,-0.9,-0.8,100.0,114.0,21000000,24137328
310,Kelly Olynyk,Center,29.0,70.0,62.0,28.5,0.3,0.9,115.0,110.0,12819650,14734862
311,Miye Oni,Guard,23.0,54.0,0.0,9.6,-3.0,1.3,110.0,110.0,1517981,1744762
312,Cedi Osman,Forward,25.0,59.0,26.0,25.6,-2.3,-0.9,100.0,116.0,8840580,10161332
313,Daniel Oturu,Center,21.0,30.0,0.0,5.4,-4.1,-1.1,106.0,109.0,898310,1032514
314,Kelly Oubre,Forward,25.0,55.0,50.0,30.7,-1.4,-0.5,103.0,110.0,14375000,16522576
315,Eric Paschall,Forward,24.0,40.0,2.0,17.4,-1.8,-0.9,106.0,113.0,1517981,1744762
316,Patrick Patterson,Forward,31.0,38.0,5.0,15.3,-0.4,-0.1,119.0,113.0,3814771,4384684
317,Chris Paul,Guard,35.0,70.0,70.0,31.4,3.5,1.1,124.0,111.0,41358814,47537680
318,Cameron Payne,Guard,26.0,60.0,1.0,18.0,2.1,1.0,122.0,112.0,1977011,2272369
319,Elfrid Payton,Guard,26.0,63.0,63.0,23.6,-2.9,-0.1,99.0,110.0,4767000,5479173
320,Reggie Perry,Forward,20.0,26.0,0.0,8.1,-5.3,-1.4,101.0,111.0,489148,562225
321,Mason Plumlee,Center,30.0,56.0,56.0,26.8,0.2,2.0,122.0,109.0,8000000,9195172
322,Jakob Poeltl,Center,25.0,69.0,51.0,26.7,-0.5,1.2,123.0,109.0,8101852,9312241
323,Aleksej Pokusevski,Forward,19.0,45.0,28.0,24.2,-5.1,-1.0,81.0,114.0,2964840,3407777
324,Jordan Poole,Guard,21.0,51.0,7.0,19.4,0.7,-1.2,111.0,114.0,2063280,2371527
325,Kevin Porter,Guard,20.0,26.0,23.0,32.1,-1.1,-2.4,101.0,118.0,1717981,1974641
326,Michael Porter,Forward,22.0,61.0,54.0,31.3,4.0,-0.9,125.0,112.0,3550800,4081277
327,Otto Porter,Forward,27.0,28.0,6.0,21.6,0.0,0.0,113.0,112.0,28489239,32745434
328,Bobby Portis,Center,25.0,66.0,7.0,20.8,1.8,-0.4,121.0,109.0,3623000,4164263
329,Kristaps Porzingis,Center,25.0,43.0,43.0,30.9,3.0,-0.8,117.0,110.0,29467800,33870189
330,Dwight Powell,Center,29.0,58.0,19.0,16.7,-0.7,1.3,136.0,110.0,11080125,12735458
331,Norman Powell,Forward,27.0,69.0,58.0,32.0,1.1,-0.7,116.0,116.0,10865952,12489288
332,Taurean Prince,Forward,26.0,41.0,10.0,22.1,-1.2,-0.6,106.0,114.0,12250000,14080108
333,Payton Pritchard,Guard,23.0,66.0,4.0,19.2,-0.3,-0.4,117.0,115.0,2035800,2339941
334,Immanuel Quickley,Guard,21.0,64.0,3.0,19.4,1.4,-0.5,113.0,111.0,2105520,2420077
335,Chasson Randle,Guard,27.0,41.0,5.0,20.4,-4.8,-1.1,98.0,117.0,279927,321747
336,Julius Randle,Forward,26.0,71.0,71.0,37.6,2.9,0.9,111.0,107.0,19845000,22809775
337,Cam Reddish,Forward,21.0,26.0,21.0,28.8,-3.3,0.1,100.0,113.0,4458000,5124010
338,JJ Redick,Guard,36.0,44.0,0.0,16.4,-1.4,-2.1,109.0,118.0,13013700,14957902
339,Paul Reed,Forward,21.0,26.0,0.0,6.8,-1.8,0.8,111.0,102.0,609128,700129
340,Naz Reid,Center,21.0,70.0,15.0,19.2,-0.1,-0.2,115.0,113.0,1517981,1744762
341,Josh Richardson,Guard,27.0,59.0,56.0,30.3,-1.5,-0.2,109.0,114.0,10865952,12489288
342,Austin Rivers,Guard,28.0,36.0,7.0,23.5,-2.2,0.3,109.0,112.0,3929049,4516035
343,Duncan Robinson,Forward,26.0,72.0,72.0,31.4,-0.2,-0.8,113.0,114.0,1663861,1912436
344,Glenn Robinson III,Forward,27.0,23.0,2.0,16.0,-1.9,-2.2,112.0,122.0,1165322,1339417
345,Mitchell Robinson,Center,22.0,31.0,29.0,27.5,-0.3,1.5,131.0,104.0,1663861,1912436
346,Isaiah Roby,Forward,22.0,61.0,34.0,23.4,-3.7,0.4,102.0,112.0,1517981,1744762
347,Rajon Rondo,Guard,34.0,45.0,3.0,17.1,-0.5,0.3,108.0,112.0,7500000,8620474
348,Derrick Rose,Guard,32.0,50.0,3.0,25.6,1.6,0.3,112.0,111.0,7682926,8830729
349,Terrence Ross,Guard,29.0,46.0,2.0,29.3,-1.4,-0.8,103.0,115.0,13500000,15516854
350,Terry Rozier,Guard,26.0,69.0,69.0,34.5,2.2,-0.5,113.0,114.0,18900000,21723596
351,Ricky Rubio,Guard,30.0,68.0,51.0,26.1,-1.9,0.0,113.0,115.0,17000000,19539742
352,D'Angelo Russell,Guard,24.0,42.0,26.0,28.5,3.3,-1.7,108.0,117.0,28649250,32929351
353,Domantas Sabonis,Forward,24.0,62.0,62.0,36.0,2.3,1.6,115.0,110.0,19800000,22758053
354,Luka Samanic,Forward,21.0,33.0,4.0,9.3,-4.2,-0.7,97.0,112.0,2824320,3246263
355,JaKarr Sampson,Forward,27.0,29.0,4.0,10.9,-5.2,-2.3,104.0,114.0,1882867,2164160
356,Dario Saric,Center,26.0,50.0,4.0,17.4,-1.4,-0.6,109.0,111.0,9250000,10631918
357,Mike Scott,Forward,32.0,51.0,12.0,16.7,-3.2,0.3,101.0,110.0,5005350,5753132
358,Collin Sexton,Guard,22.0,60.0,60.0,35.3,1.8,-1.9,111.0,118.0,4991880,5737649
359,Landry Shamet,Guard,23.0,61.0,12.0,23.0,-1.0,-1.5,113.0,118.0,2090040,2402284
360,Pascal Siakam,Forward,26.0,56.0,56.0,35.8,1.0,-0.3,111.0,113.0,30559200,35124641
361,Ben Simmons,Guard,24.0,58.0,58.0,32.4,0.7,2.2,114.0,106.0,30559200,35124641
362,Anfernee Simons,Guard,21.0,64.0,0.0,17.3,0.6,-1.6,117.0,119.0,2252040,2588487
363,Deividas Sirvydis,Guard,20.0,20.0,0.0,6.7,-4.2,-1.2,90.0,114.0,898310,1032514
364,Marcus Smart,Guard,26.0,48.0,45.0,32.9,-0.4,0.2,114.0,113.0,12946428,14880580
365,Dennis Smith,Guard,23.0,23.0,9.0,18.3,-1.1,1.5,105.0,110.0,5686677,6536247
366,Jalen Smith,Forward,20.0,27.0,1.0,5.8,-4.8,-1.3,96.0,112.0,4245720,4880016
367,Tony Snell,Guard,29.0,47.0,23.0,21.1,-0.4,-0.1,135.0,117.0,12178571,13998008
368,Cassius Stanley,Guard,21.0,24.0,0.0,3.9,-7.2,-4.0,90.0,116.0,470690,541009
369,Lamar Stevens,Forward,23.0,40.0,0.0,12.5,-4.2,0.0,103.0,113.0,1000000,1149396
370,Isaiah Stewart,Center,19.0,68.0,14.0,21.4,-1.6,0.5,118.0,109.0,3121080,3587358
371,Max Strus,Forward,24.0,39.0,0.0,13.0,-0.5,-1.7,115.0,115.0,647098,743772
372,Edmond Sumner,Guard,25.0,53.0,24.0,16.2,-2.3,-0.5,112.0,115.0,2160000,2482696
373,Jae'Sean Tate,Forward,25.0,70.0,58.0,29.2,-1.6,0.3,114.0,115.0,1445697,1661679
374,Jayson Tatum,Forward,22.0,64.0,64.0,35.8,4.2,-0.3,114.0,112.0,9897120,11375716
375,Jeff Teague,Guard,32.0,55.0,7.0,17.3,-1.7,-0.5,111.0,114.0,3372826,3876714
376,Garrett Temple,Guard,34.0,56.0,25.0,27.3,-3.3,0.3,105.0,113.0,4767000,5479173
377,Daniel Theis,Center,28.0,65.0,51.0,24.6,-0.7,0.7,120.0,111.0,5000000,5746983
378,Brodric Thomas,Guard,24.0,32.0,1.0,12.5,-4.7,0.3,96.0,114.0,412202,473783
379,Matt Thomas,Guard,26.0,45.0,0.0,7.2,-2.6,-2.0,103.0,115.0,1517981,1744762
380,Tristan Thompson,Forward,29.0,54.0,43.0,23.8,-1.5,-1.0,116.0,112.0,9258000,10641113
381,Sindarius Thornwell,Guard,26.0,21.0,1.0,10.3,-5.7,0.9,93.0,114.0,1235889,1420525
382,Matisse Thybulle,Guard,23.0,65.0,8.0,20.0,-2.6,4.5,104.0,103.0,2711280,3116336
383,Xavier Tillman,Forward,22.0,59.0,12.0,18.4,-1.3,1.1,119.0,110.0,1300000,1494215
384,Obi Toppin,Forward,22.0,62.0,0.0,11.0,-1.4,0.7,112.0,108.0,4862040,5588412
385,Juan Toscano-Anderson,Guard,27.0,53.0,16.0,20.9,-1.4,2.2,121.0,109.0,943963,1084987
386,Karl-Anthony Towns,Center,25.0,50.0,50.0,33.8,4.3,0.2,117.0,113.0,29467800,33870189
387,Gary Trent Jr,Guard,22.0,58.0,38.0,31.1,-0.5,-1.7,108.0,118.0,1663861,1912436
388,PJ Tucker,Forward,35.0,52.0,33.0,26.1,-4.6,0.5,104.0,116.0,7969537,9160158
389,Myles Turner,Center,24.0,47.0,47.0,31.0,-1.6,2.0,112.0,108.0,18000000,20689139
390,Jonas Valanciunas,Center,28.0,62.0,61.0,28.3,3.2,-0.3,126.0,108.0,15000000,17240949
391,Denzel Valentine,Guard,27.0,62.0,3.0,16.7,-2.2,-0.4,100.0,112.0,4642800,5336418
392,Jarred Vanderbilt,Forward,21.0,64.0,30.0,17.8,-1.4,1.4,122.0,110.0,1663861,1912436
393,Fred VanVleet,Guard,26.0,52.0,52.0,36.5,2.2,0.2,113.0,113.0,21250000,24424678
394,Devin Vassell,Forward,20.0,62.0,7.0,17.0,-2.2,0.7,108.0,112.0,4033440,4636022
395,Gabe Vincent,Guard,24.0,50.0,7.0,13.1,-4.5,-0.9,98.0,114.0,660750,759463
396,Nikola Vucevic,Center,30.0,70.0,70.0,33.5,4.9,0.4,112.0,110.0,26000000,29884312
397,Dean Wade,Forward,24.0,63.0,19.0,19.2,-1.1,-0.1,116.0,115.0,1517981,1744762
398,Moritz Wagner,Center,23.0,45.0,24.0,16.0,-2.7,0.2,110.0,112.0,2383915,2740063
399,Kemba Walker,Guard,30.0,43.0,43.0,31.8,2.8,-0.7,114.0,114.0,34379100,39515221
400,Lonnie Walker,Guard,22.0,60.0,38.0,25.4,-2.3,-1.4,100.0,116.0,2895720,3328330
401,John Wall,Guard,30.0,40.0,40.0,32.2,1.2,-1.9,99.0,116.0,41254920,47418265
402,Brad Wanamaker,Guard,31.0,61.0,0.0,17.3,-4.4,0.3,102.0,113.0,2250000,2586142
403,PJ Washington,Forward,22.0,64.0,61.0,30.5,-1.5,0.6,105.0,111.0,4023600,4624712
404,Yuta Watanabe,Forward,26.0,50.0,4.0,14.5,-1.1,0.5,117.0,111.0,737996,848250
405,Tremont Waters,Guard,23.0,26.0,3.0,9.2,0.4,-0.1,108.0,112.0,712278,818689
406,Paul Watson,Forward,26.0,27.0,2.0,11.0,-0.8,-0.6,120.0,115.0,1445697,1661679
407,Quinndary Weatherspoon,Guard,24.0,20.0,0.0,6.1,-5.8,0.7,97.0,111.0,449115,516211
408,Russell Westbrook,Guard,32.0,65.0,65.0,36.4,2.6,1.1,105.0,110.0,41358814,47537680
409,Coby White,Guard,20.0,69.0,54.0,31.2,-1.2,-1.2,106.0,115.0,5572680,6405219
410,Derrick White,Guard,26.0,36.0,32.0,29.6,1.3,0.0,111.0,114.0,3516284,4041604
411,Hassan Whiteside,Center,31.0,36.0,4.0,15.2,-1.8,-0.4,107.0,111.0,2320044,2666650
412,Andrew Wiggins,Forward,25.0,71.0,71.0,33.3,0.0,-0.4,107.0,111.0,29542010,33955486
413,Grant Williams,Forward,22.0,63.0,9.0,18.1,-4.0,0.3,105.0,114.0,2498760,2872066
414,Kenrich Williams,Forward,26.0,66.0,13.0,21.6,-1.2,0.5,116.0,114.0,2000000,2298793
415,Patrick Williams,Forward,19.0,71.0,71.0,27.9,-2.8,0.4,105.0,112.0,7068360,8124349
416,Robert Williams,Center,23.0,52.0,13.0,18.9,2.9,3.1,139.0,104.0,2029920,2333183
417,Zion Williamson,Forward,20.0,61.0,61.0,33.2,6.1,-0.3,124.0,115.0,10245480,11776120
418,DJ Wilson,Forward,24.0,35.0,1.0,12.4,-2.7,-0.6,100.0,112.0,4548280,5227777
419,Dylan Windler,Forward,24.0,31.0,0.0,16.5,-2.0,0.3,103.0,113.0,2137440,2456766
420,Justise Winslow,Forward,24.0,26.0,1.0,19.5,-6.2,0.2,82.0,110.0,13000000,14942156
421,Cassius Winston,Guard,22.0,22.0,0.0,4.5,-2.1,-1.1,111.0,116.0,449115,516211
422,James Wiseman,Center,19.0,39.0,27.0,21.4,-4.0,-1.0,100.0,109.0,8730240,10034508
423,Christian Wood,Center,25.0,41.0,41.0,32.3,1.7,-0.3,111.0,112.0,13015874,14960401
424,Delon Wright,Guard,28.0,63.0,39.0,27.7,0.6,1.5,118.0,113.0,9000000,10344569
425,Thaddeus Young,Forward,32.0,68.0,23.0,24.3,1.9,1.4,116.0,110.0,13545000,15568577
426,Trae Young,Guard,22.0,63.0,63.0,33.7,5.3,-1.7,117.0,116.0,6571800,7553604
427,Cody Zeller,Center,28.0,48.0,21.0,20.9,-0.2,-0.2,123.0,112.0,15415730,17718787
428,Ivica Zubac,Center,23.0,72.0,33.0,22.3,0.6,0.4,135.0,110.0,7000000,8045776
429,Precious Achiuwa,Center,22.0,73.0,28.0,23.6,-2.0,-0.6,105.0,110.0,2711280,2956915
430,Steven Adams,Center,28.0,76.0,75.0,26.3,1.0,1.0,125.0,108.0,17073171,18619958
431,Bam Adebayo,Center,24.0,56.0,56.0,32.6,1.7,2.1,117.0,104.0,28103500,30649609
432,LaMarcus Aldridge,Center,36.0,47.0,12.0,22.3,1.3,-0.6,119.0,112.0,2641691,2881021
433,Nickeil Alexander-Walker,Guard,23.0,65.0,21.0,22.6,-1.8,-1.1,98.0,114.0,3261480,3556962
434,Grayson Allen,Guard,26.0,66.0,61.0,27.3,0.6,-0.2,122.0,114.0,4054695,4422040
435,Jarrett Allen,Center,23.0,56.0,56.0,32.3,2.7,1.2,132.0,106.0,20000000,21811951
436,Jose Alvarado,Guard,23.0,54.0,1.0,15.4,-0.5,2.4,114.0,109.0,1925406,2099843
437,Kyle Anderson,Forward,28.0,69.0,11.0,21.5,-0.9,2.1,110.0,106.0,9937150,10837431
438,Giannis Antetokounmpo,Forward,27.0,67.0,67.0,32.9,7.6,3.5,124.0,106.0,39344900,42909452
439,Thanasis Antetokounmpo,Forward,29.0,48.0,6.0,9.9,-3.5,-0.1,113.0,112.0,1729217,1885879
440,Carmelo Anthony,Forward,37.0,69.0,3.0,26.0,0.4,-0.8,114.0,114.0,2641691,2881021
441,Cole Anthony,Guard,21.0,65.0,65.0,31.7,-0.6,-0.6,103.0,114.0,3449400,3761907
442,OG Anunoby,Forward,24.0,48.0,48.0,36.0,0.4,0.1,112.0,111.0,16071429,17527461
443,Trevor Ariza,Forward,36.0,24.0,11.0,19.3,-3.3,-0.2,97.0,114.0,2641691,2881021
444,DJ Augustin,Guard,34.0,55.0,2.0,16.1,-1.2,-2.4,112.0,120.0,7622467,8313044
445,Deni Avdija,Forward,21.0,82.0,8.0,24.2,-2.1,0.4,106.0,113.0,4692840,5117999
446,Deandre Ayton,Center,23.0,58.0,58.0,29.5,2.2,0.6,124.0,105.0,12632950,13777464
447,Marvin Bagley,Forward,22.0,48.0,25.0,23.9,-0.5,-1.8,112.0,114.0,11312114,12336964
448,LaMelo Ball,Guard,20.0,75.0,75.0,32.3,3.3,0.1,111.0,112.0,8231760,8977537
449,Lonzo Ball,Guard,24.0,35.0,35.0,34.6,0.9,1.6,110.0,111.0,18604651,20290187
450,Mo Bamba,Center,23.0,71.0,69.0,25.7,-0.2,0.9,113.0,108.0,7568743,8254452
451,Desmond Bane,Guard,23.0,76.0,76.0,29.8,2.5,0.3,119.0,110.0,2033160,2217359
452,Dalano Banton,Guard,22.0,64.0,1.0,10.9,-3.5,0.4,98.0,111.0,925258,1009084
453,Harrison Barnes,Forward,29.0,77.0,77.0,33.6,1.5,-1.3,121.0,118.0,20284091,22121780
454,Scottie Barnes,Forward,20.0,74.0,74.0,35.4,0.5,0.4,116.0,111.0,7280400,7939986
455,RJ Barrett,Forward,21.0,70.0,70.0,34.5,-0.3,-1.3,103.0,113.0,8623920,9405226
456,Will Barton,Guard,31.0,71.0,71.0,32.1,0.4,-0.9,108.0,114.0,15625000,17040587
457,Charles Bassey,Center,21.0,23.0,0.0,7.3,-0.4,2.1,129.0,103.0,925258,1009084
458,Keita Bates-Diop,Forward,26.0,59.0,14.0,16.2,-2.1,-0.5,111.0,112.0,1729217,1885879
459,Nicolas Batum,Forward,33.0,59.0,54.0,24.8,0.5,1.8,118.0,109.0,12026998,13116613
460,Kent Bazemore,Forward,32.0,39.0,14.0,14.0,-5.1,0.8,93.0,113.0,2401537,2619110
461,Darius Bazley,Forward,21.0,69.0,53.0,27.9,-2.1,0.3,101.0,111.0,2513040,2740715
462,Bradley Beal,Guard,28.0,40.0,40.0,36.0,2.0,-1.2,106.0,117.0,33724200,36779530
463,Malik Beasley,Guard,25.0,79.0,18.0,25.0,0.7,-1.5,111.0,116.0,14491964,15804900
464,DeAndre Bembry,Forward,27.0,56.0,20.0,18.3,-2.2,1.5,119.0,112.0,2271045,2476795
465,Davis Bertans,Forward,29.0,56.0,0.0,14.4,-1.7,-0.9,106.0,114.0,16000000,17449561
466,Patrick Beverley,Guard,33.0,58.0,54.0,25.4,0.6,2.1,119.0,111.0,14320987,15618433
467,Saddiq Bey,Forward,22.0,82.0,82.0,33.0,0.9,-1.2,110.0,116.0,2824320,3080196
468,Khem Birch,Center,29.0,55.0,28.0,18.0,-1.7,0.4,124.0,111.0,6350000,6925294
469,Goga Bitadze,Center,22.0,50.0,16.0,14.6,-0.2,-0.6,118.0,114.0,3098400,3379107
470,Bismack Biyombo,Center,29.0,36.0,3.0,14.1,-1.7,0.4,119.0,105.0,1518213,1655759
471,Nemanja Bjelica,Center,33.0,71.0,0.0,16.1,-0.9,2.3,111.0,105.0,2089448,2278746
472,Eric Bledsoe,Guard,32.0,54.0,29.0,25.2,-2.1,1.3,100.0,110.0,18125000,19767081
473,Keljin Blevins,Forward,26.0,31.0,1.0,11.3,-5.6,-2.9,86.0,119.0,462629,504542
474,Bogdan Bogdanovic,Guard,29.0,63.0,27.0,29.3,1.5,-0.2,114.0,116.0,18000000,19630756
475,Bojan Bogdanovic,Forward,32.0,69.0,69.0,30.9,1.6,-1.6,116.0,115.0,18700000,20394174
476,Leandro Bolmaro,Forward,21.0,35.0,2.0,6.9,-5.1,-0.7,96.0,115.0,2353320,2566525
477,Devin Booker,Guard,25.0,68.0,68.0,34.5,3.9,0.2,113.0,109.0,31650600,34518067
478,BJ Boston,Guard,20.0,51.0,0.0,14.9,-3.0,-0.4,98.0,111.0,925258,1009084
479,Chris Boucher,Forward,29.0,80.0,9.0,21.1,0.5,-0.4,124.0,108.0,7020000,7655995
480,James Bouknight,Guard,21.0,31.0,0.0,9.8,-3.4,-3.7,100.0,117.0,4154400,4530778
481,Avery Bradley,Guard,31.0,62.0,45.0,22.7,-3.5,-0.1,106.0,116.0,2641691,2881021
482,Tony Bradley,Center,24.0,55.0,7.0,10.0,-2.0,0.2,115.0,110.0,1789256,1951358
483,Ignas Brazdeikis,Forward,23.0,42.0,1.0,12.8,-2.7,-1.6,106.0,116.0,462629,504542
484,Mikal Bridges,Forward,25.0,82.0,82.0,34.8,0.5,1.1,125.0,110.0,5557725,6061241
485,Miles Bridges,Forward,23.0,80.0,80.0,35.5,1.8,-0.3,117.0,114.0,5421493,5912667
486,Oshae Brissett,Forward,23.0,67.0,25.0,23.3,-0.5,-1.7,112.0,116.0,1701593,1855753
487,Malcolm Brogdon,Guard,29.0,36.0,36.0,33.5,2.8,-0.5,116.0,118.0,21700000,23665967
488,Armoni Brooks,Guard,23.0,54.0,11.0,15.6,-2.6,-1.3,101.0,117.0,1739065,1896619
489,Dillon Brooks,Forward,26.0,32.0,31.0,27.7,-1.0,-0.8,108.0,112.0,12200000,13305290
490,Bruce Brown,Forward,25.0,72.0,45.0,24.6,-0.4,1.1,121.0,111.0,4736102,5165181
491,Charlie Brown,Guard,24.0,22.0,2.0,8.0,-5.2,0.4,88.0,109.0,431151,470212
492,Greg Brown,Forward,20.0,48.0,6.0,13.3,-4.0,-0.7,102.0,114.0,925258,1009084
493,Jaylen Brown,Forward,25.0,66.0,66.0,33.6,1.9,0.1,109.0,108.0,26758928,29183222
494,Moses Brown,Center,22.0,40.0,6.0,8.6,-2.4,-0.9,115.0,105.0,1933909,2109116
495,Sterling Brown,Guard,26.0,49.0,3.0,12.8,-3.4,0.5,102.0,109.0,3000000,3271792
496,Troy Brown,Forward,22.0,66.0,7.0,16.0,-1.7,-0.2,110.0,114.0,5170564,5639004
497,Jalen Brunson,Guard,25.0,79.0,61.0,31.9,0.9,0.0,118.0,112.0,1802057,1965319
