,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted
231,Jake Layman,Forward,26.0,45.0,11.0,13.9,55.7,14.634146341463417,5.8,11.5,3761085,4322978
232,Damion Lee,Guard,28.0,57.0,1.0,18.9,60.8,14.583333333333334,8.9,9.3,1762796,2026151
233,Saben Lee,Guard,21.0,48.0,7.0,16.3,49.0,29.54545454545454,6.9,18.1,516836,594049
234,Alex Len,Center,27.0,64.0,42.0,15.3,62.9,25.581395348837212,14.1,14.3,3970648,4563848
235,Kawhi Leonard,Forward,29.0,52.0,52.0,34.1,56.8,28.57142857142857,10.7,9.2,34379100,39515221
236,Caris LeVert,Guard,26.0,47.0,39.0,31.6,49.3,17.91907514450867,7.8,10.2,16203704,18624482
237,Kira Lewis,Guard,19.0,54.0,0.0,16.7,44.5,12.903225806451612,4.3,8.6,3640200,4184033
238,Damian Lillard,Guard,30.0,67.0,67.0,35.8,55.400000000000006,33.66834170854271,6.3,11.6,31626953,36351912
239,Nassir Little,Forward,20.0,48.0,2.0,13.3,55.1,22.857142857142858,10.7,8.8,2210640,2540902
240,Kevon Looney,Center,24.0,61.0,34.0,19.0,55.800000000000004,15.625,14.8,14.5,4821429,5541734
241,Brook Lopez,Center,32.0,70.0,70.0,27.2,57.699999999999996,18.681318681318682,9.6,8.3,12697675,14594664
242,Robin Lopez,Center,32.0,71.0,9.0,19.1,63.9,23.333333333333332,10.6,13.4,7300000,8390595
243,Kevin Love,Forward,32.0,25.0,25.0,24.9,52.2,16.831683168316832,16.7,12.2,31258256,35928133
244,Kyle Lowry,Guard,34.0,46.0,46.0,34.8,54.6,23.076923076923077,8.5,15.9,30500000,35056596
245,Timothe Luwawu,Forward,25.0,58.0,7.0,18.1,47.099999999999994,9.836065573770492,6.8,10.3,1824003,2096502
246,Trey Lyles,Forward,25.0,23.0,9.0,15.6,55.60000000000001,17.94871794871795,12.8,5.7,5500000,6321681
247,Theo Maledon,Guard,19.0,65.0,49.0,27.4,45.4,17.02127659574468,6.2,17.3,2000000,2298793
248,Terance Mann,Guard,24.0,67.0,10.0,18.9,56.3,23.076923076923077,10.8,9.3,1517981,1744762
249,Nico Mannion,Guard,19.0,30.0,1.0,12.1,43.9,21.05263157894737,6.7,19.7,449115,516211
250,Boban Marjanovic,Center,32.0,33.0,3.0,8.2,51.2,24.324324324324323,26.0,8.0,3500000,4022888
251,Lauri Markkanen,Forward,23.0,51.0,26.0,25.8,59.4,14.705882352941178,11.3,8.5,6731508,7737172
252,Naji Marshall,Forward,23.0,32.0,10.0,21.9,46.2,26.153846153846157,11.5,13.6,538391,618824
253,Caleb Martin,Forward,25.0,53.0,3.0,15.4,43.6,16.666666666666668,9.3,10.4,1517981,1744762
254,Cody Martin,Forward,25.0,52.0,10.0,16.3,48.4,13.88888888888889,10.3,16.2,1517981,1744762
255,Kelan Martin,Forward,25.0,35.0,0.0,9.2,53.6,7.6923076923076925,13.1,10.1,1445697,1661679
256,KJ Martin,Forward,20.0,45.0,8.0,23.7,56.39999999999999,18.30985915492958,12.1,9.7,898310,1032514
257,Garrison Mathews,Guard,24.0,64.0,24.0,16.2,56.99999999999999,35.13513513513514,4.4,3.5,688052,790844
258,Wesley Matthews,Guard,34.0,58.0,10.0,19.5,48.4,13.953488372093023,4.6,8.8,3623000,4164263
259,Tyrese Maxey,Guard,20.0,61.0,8.0,15.3,49.8,14.285714285714285,6.1,8.2,2478840,2849170
260,Skylar Mays,Guard,23.0,33.0,0.0,8.2,52.0,23.333333333333332,7.1,7.6,532218,611729
261,CJ McCollum,Guard,29.0,47.0,47.0,34.0,55.400000000000006,12.234042553191488,6.2,6.5,29354152,33739563
262,TJ McConnell,Guard,28.0,69.0,3.0,26.0,57.4,7.042253521126761,7.7,20.9,3500000,4022888
263,Jaden McDaniels,Forward,20.0,63.0,27.0,24.0,54.50000000000001,6.896551724137931,8.3,10.8,1964760,2258288
264,Jalen McDaniels,Forward,23.0,47.0,18.0,19.2,53.0,16.666666666666664,10.1,12.6,1517981,1744762
265,Doug McDermott,Forward,29.0,66.0,29.0,24.5,61.6,11.881188118811881,7.4,7.0,7333333,8428908
266,JaVale McGee,Center,33.0,46.0,2.0,14.7,52.0,16.393442622950822,19.8,16.2,4200000,4827465
267,Alfonzo McKinnie,Forward,28.0,39.0,0.0,6.6,60.199999999999996,12.5,11.8,4.7,1762796,2026151
268,Jordan McLaughlin,Guard,24.0,51.0,2.0,18.4,48.1,10.638297872340425,6.2,16.7,503760,579020
269,Ben McLemore,Guard,27.0,53.0,5.0,17.1,50.3,10.144927536231883,6.0,9.8,2893630,3325927
270,Nicolo Melli,Forward,30.0,45.0,4.0,12.6,40.8,12.903225806451612,11.8,7.3,3897436,4479699
271,De'Anthony Melton,Guard,22.0,52.0,1.0,20.1,54.800000000000004,10.526315789473685,8.2,13.7,9571712,11001693
272,Sam Merrill,Guard,24.0,30.0,2.0,7.8,59.0,4.166666666666667,6.8,11.9,898310,1032514
273,Chimezie Metu,Center,23.0,36.0,6.0,13.6,54.50000000000001,18.0,12.7,12.8,910895,1046979
274,Khris Middleton,Forward,29.0,68.0,68.0,33.4,54.6,19.62025316455696,9.4,13.1,33051724,37989539
275,Paul Millsap,Forward,35.0,56.0,36.0,20.8,53.7,18.055555555555554,12.8,10.3,10100000,11608905
276,Shake Milton,Guard,24.0,63.0,4.0,23.2,50.3,21.698113207547166,5.6,12.2,1701593,1955805
277,Donovan Mitchell,Guard,24.0,53.0,53.0,33.4,52.0,24.271844660194173,7.0,10.7,5195501,5971691
278,Malik Monk,Guard,22.0,42.0,0.0,20.9,54.0,14.736842105263156,6.2,11.3,5345687,6144314
279,E'Twaun Moore,Guard,31.0,27.0,1.0,14.4,50.0,8.88888888888889,6.6,15.3,2331593,2679925
280,Ja Morant,Guard,21.0,63.0,63.0,32.6,48.699999999999996,28.289473684210524,6.5,15.3,9166800,10536288
281,Juwan Morgan,Forward,23.0,29.0,0.0,5.1,53.300000000000004,10.0,10.1,10.8,1517981,1744762
282,Marcus Morris,Forward,31.0,57.0,29.0,26.4,59.199999999999996,12.745098039215689,8.8,8.4,14883721,17107298
283,Markieff Morris,Forward,31.0,61.0,27.0,19.7,49.1,9.67741935483871,12.5,11.9,2331593,2679925
284,Monte Morris,Guard,25.0,47.0,13.0,25.4,54.7,14.634146341463417,4.6,7.5,1723707,1981222
285,Mychal Mulder,Guard,26.0,60.0,6.0,12.8,60.9,4.545454545454546,4.2,5.5,1517981,1744762
286,Dejounte Murray,Guard,24.0,67.0,67.0,31.9,48.5,11.03448275862069,11.8,10.2,14286000,16420280
287,Jamal Murray,Guard,23.0,48.0,48.0,35.5,55.900000000000006,16.96969696969697,6.5,11.2,27285000,31361286
288,Mike Muscala,Center,29.0,35.0,0.0,18.4,57.3,11.842105263157896,10.6,6.9,2283034,2624111
289,Abdel Nader,Forward,27.0,24.0,0.0,14.8,56.89999999999999,25.0,9.9,12.6,1752950,2014834
290,Aaron Nesmith,Forward,21.0,46.0,1.0,14.5,55.1,12.820512820512823,10.6,10.8,3458400,3975073
291,Raul Neto,Guard,28.0,64.0,22.0,21.9,53.900000000000006,17.142857142857142,5.9,9.9,1882867,2164160
292,Georges Niang,Forward,27.0,72.0,10.0,16.0,59.0,5.357142857142858,8.1,10.9,1783557,2050014
293,Zeke Nnaji,Forward,20.0,42.0,1.0,9.5,59.599999999999994,12.0,9.3,6.0,2379840,2735380
294,Nerlens Noel,Center,26.0,64.0,41.0,24.2,61.4,22.857142857142858,14.3,20.4,5000000,5746983
295,Jaylen Nowell,Guard,21.0,42.0,0.0,18.1,49.9,13.750000000000002,6.8,7.2,1517981,1744762
296,Frank Ntilikina,Guard,22.0,33.0,4.0,9.8,51.300000000000004,8.333333333333334,5.2,11.2,6176578,7099337
297,Kendrick Nunn,Guard,25.0,56.0,44.0,29.5,57.8,8.47457627118644,6.2,10.5,1663861,1912436
298,Jusuf Nurkic,Center,26.0,37.0,37.0,23.8,53.2,21.11111111111111,20.2,16.0,12888889,14814445
299,David Nwaba,Forward,28.0,30.0,9.0,22.6,52.5,21.917808219178085,9.3,6.4,1824003,2096502
300,Jordan Nwora,Forward,22.0,30.0,2.0,9.1,56.3,13.333333333333334,11.5,14.1,898310,1032514
301,Royce O'Neale,Forward,27.0,71.0,71.0,31.6,57.99999999999999,9.090909090909092,11.5,16.7,8500000,9769871
302,Semi Ojeleye,Forward,26.0,56.0,15.0,17.0,53.400000000000006,10.256410256410257,8.6,8.2,1752950,2014834
303,Jahlil Okafor,Center,25.0,27.0,2.0,12.9,62.7,15.789473684210526,10.6,15.7,1882867,2164160
304,Chuma Okeke,Forward,22.0,45.0,19.0,25.2,49.2,9.722222222222221,8.3,10.0,3121080,3587358
305,Josh Okogie,Guard,22.0,59.0,37.0,20.3,45.9,32.558139534883715,7.1,12.5,2651040,3047096
306,Onyeka Okongwu,Center,20.0,50.0,4.0,12.0,64.4,23.333333333333332,14.9,14.3,5813640,6682178
307,Isaac Okoro,Guard,20.0,67.0,67.0,32.4,47.599999999999994,20.48192771084337,5.3,12.0,6400920,7357195
308,KZ Okpala,Forward,21.0,37.0,9.0,12.1,43.8,7.6923076923076925,8.7,12.8,1517981,1744762
309,Victor Oladipo,Guard,28.0,33.0,33.0,32.7,47.599999999999994,18.285714285714285,8.0,11.5,21000000,24137328
310,Kelly Olynyk,Center,29.0,70.0,62.0,28.5,57.4,21.000000000000004,13.6,14.0,12819650,14734862
311,Miye Oni,Guard,23.0,54.0,0.0,9.6,50.5,5.555555555555556,8.6,13.6,1517981,1744762
312,Cedi Osman,Forward,25.0,59.0,26.0,25.6,45.800000000000004,13.131313131313133,7.5,11.3,8840580,10161332
313,Daniel Oturu,Center,21.0,30.0,0.0,5.4,43.3,17.647058823529413,16.8,13.6,898310,1032514
314,Kelly Oubre,Forward,25.0,55.0,50.0,30.7,50.1,16.666666666666668,10.4,8.0,14375000,16522576
315,Eric Paschall,Forward,24.0,40.0,2.0,17.4,52.7,22.666666666666664,9.8,11.2,1517981,1744762
316,Patrick Patterson,Forward,31.0,38.0,5.0,15.3,55.800000000000004,6.976744186046512,7.2,6.0,3814771,4384684
317,Chris Paul,Guard,35.0,70.0,70.0,31.4,55.7,19.047619047619047,8.0,14.0,41358814,47537680
318,Cameron Payne,Guard,26.0,60.0,1.0,18.0,57.599999999999994,12.121212121212123,7.6,12.5,1977011,2272369
319,Elfrid Payton,Guard,26.0,63.0,63.0,23.6,45.5,12.12121212121212,7.9,13.3,4767000,5479173
320,Reggie Perry,Forward,20.0,26.0,0.0,8.1,43.6,13.333333333333334,19.1,15.2,489148,562225
321,Mason Plumlee,Center,30.0,56.0,56.0,26.8,61.4,29.411764705882355,19.3,18.7,8000000,9195172
322,Jakob Poeltl,Center,25.0,69.0,51.0,26.7,61.6,14.516129032258066,15.8,14.6,8101852,9312241
323,Aleksej Pokusevski,Forward,19.0,45.0,28.0,24.2,41.199999999999996,7.6923076923076925,10.1,18.8,2964840,3407777
324,Jordan Poole,Guard,21.0,51.0,7.0,19.4,53.5,22.58064516129032,5.0,8.8,2063280,2371527
325,Kevin Porter,Guard,20.0,26.0,23.0,32.1,49.3,19.148936170212767,6.3,18.2,1717981,1974641
326,Michael Porter,Forward,22.0,61.0,54.0,31.3,64.60000000000001,12.686567164179104,13.2,8.1,3550800,4081277
327,Otto Porter,Forward,27.0,28.0,6.0,21.6,51.800000000000004,16.049382716049383,13.8,9.2,28489239,32745434
328,Bobby Portis,Center,25.0,66.0,7.0,20.8,58.5,8.791208791208792,17.9,8.2,3623000,4164263
329,Kristaps Porzingis,Center,25.0,43.0,43.0,30.9,54.7,16.9811320754717,15.8,6.4,29467800,33870189
330,Dwight Powell,Center,29.0,58.0,19.0,16.7,63.1,51.515151515151516,13.3,13.9,11080125,12735458
331,Norman Powell,Forward,27.0,69.0,58.0,32.0,56.99999999999999,25.563909774436087,5.3,10.3,10865952,12489288
332,Taurean Prince,Forward,26.0,41.0,10.0,22.1,49.5,20.0,8.8,11.5,12250000,14080108
333,Payton Pritchard,Guard,23.0,66.0,4.0,19.2,56.2,9.523809523809524,6.9,10.8,2035800,2339941
334,Immanuel Quickley,Guard,21.0,64.0,3.0,19.4,49.7,26.373626373626376,6.0,8.1,2105520,2420077
335,Chasson Randle,Guard,27.0,41.0,5.0,20.4,48.1,15.517241379310345,5.1,15.1,279927,321747
336,Julius Randle,Forward,26.0,71.0,71.0,37.6,51.6,26.344086021505376,14.7,13.8,19845000,22809775
337,Cam Reddish,Forward,21.0,26.0,21.0,28.8,42.8,25.742574257425744,7.6,10.2,4458000,5124010
338,JJ Redick,Guard,36.0,44.0,0.0,16.4,52.1,18.032786885245905,4.8,11.0,13013700,14957902
339,Paul Reed,Forward,21.0,26.0,0.0,6.8,53.800000000000004,6.666666666666667,19.0,12.8,609128,700129
340,Naz Reid,Center,21.0,70.0,15.0,19.2,57.599999999999994,19.277108433734938,12.9,9.5,1517981,1744762
341,Josh Richardson,Guard,27.0,59.0,56.0,30.3,49.8,16.19047619047619,6.0,10.6,10865952,12489288
342,Austin Rivers,Guard,28.0,36.0,7.0,23.5,53.7,8.823529411764707,5.4,12.2,3929049,4516035
343,Duncan Robinson,Forward,26.0,72.0,72.0,31.4,61.4,9.0,6.3,9.7,1663861,1912436
344,Glenn Robinson III,Forward,27.0,23.0,2.0,16.0,50.5,20.930232558139537,6.8,9.2,1165322,1339417
345,Mitchell Robinson,Center,22.0,31.0,29.0,27.5,65.3,14.035087719298245,16.0,11.5,1663861,1912436
346,Isaiah Roby,Forward,22.0,61.0,34.0,23.4,52.0,20.0,12.4,19.0,1517981,1744762
347,Rajon Rondo,Guard,34.0,45.0,3.0,17.1,52.6,8.333333333333334,7.9,26.2,7500000,8620474
348,Derrick Rose,Guard,32.0,50.0,3.0,25.6,51.1,18.032786885245905,5.5,10.5,7682926,8830729
349,Terrence Ross,Guard,29.0,46.0,2.0,29.3,48.5,19.402985074626866,6.1,9.9,13500000,15516854
350,Terry Rozier,Guard,26.0,69.0,69.0,34.5,54.800000000000004,14.634146341463417,6.9,9.5,18900000,21723596
351,Ricky Rubio,Guard,30.0,68.0,51.0,26.1,45.4,26.027397260273972,6.8,16.4,17000000,19539742
352,D'Angelo Russell,Guard,24.0,42.0,26.0,28.5,52.300000000000004,17.419354838709676,5.0,13.5,28649250,32929351
353,Domantas Sabonis,Forward,24.0,62.0,62.0,36.0,56.39999999999999,26.71232876712329,18.0,16.9,19800000,22758053
354,Luka Samanic,Forward,21.0,33.0,4.0,9.3,50.5,15.625,11.7,14.5,2824320,3246263
355,JaKarr Sampson,Forward,27.0,29.0,4.0,10.9,50.9,17.94871794871795,13.2,10.7,1882867,2164160
356,Dario Saric,Center,26.0,50.0,4.0,17.4,51.6,25.0,12.4,12.9,9250000,10631918
357,Mike Scott,Forward,32.0,51.0,12.0,16.7,48.6,4.878048780487806,7.8,8.1,5005350,5753132
358,Collin Sexton,Guard,22.0,60.0,60.0,35.3,51.9,28.260869565217394,4.9,11.6,4991880,5737649
359,Landry Shamet,Guard,23.0,61.0,12.0,23.0,54.900000000000006,14.666666666666666,4.4,8.9,2090040,2402284
360,Pascal Siakam,Forward,26.0,56.0,56.0,35.8,49.3,25.581395348837212,11.1,10.6,30559200,35124641
361,Ben Simmons,Guard,24.0,58.0,58.0,32.4,56.00000000000001,29.7029702970297,12.2,19.6,30559200,35124641
362,Anfernee Simons,Guard,21.0,64.0,0.0,17.3,56.89999999999999,11.11111111111111,6.8,9.2,2252040,2588487
363,Deividas Sirvydis,Guard,20.0,20.0,0.0,6.7,47.5,10.0,12.1,10.5,898310,1032514
364,Marcus Smart,Guard,26.0,48.0,45.0,32.9,48.9,25.471698113207548,5.9,14.2,12946428,14880580
365,Dennis Smith,Guard,23.0,23.0,9.0,18.3,46.6,12.698412698412701,7.3,14.3,5686677,6536247
366,Jalen Smith,Forward,20.0,27.0,1.0,5.8,48.0,10.526315789473685,13.4,11.7,4245720,4880016
367,Tony Snell,Guard,29.0,47.0,23.0,21.1,69.6,5.555555555555556,6.2,10.7,12178571,13998008
368,Cassius Stanley,Guard,21.0,24.0,0.0,3.9,33.7,16.666666666666664,11.7,2.1,470690,541009
369,Lamar Stevens,Forward,23.0,40.0,0.0,12.5,47.099999999999994,26.47058823529412,10.8,12.7,1000000,1149396
370,Isaiah Stewart,Center,19.0,68.0,14.0,21.4,57.8,15.0,17.3,13.0,3121080,3587358
371,Max Strus,Forward,24.0,39.0,0.0,13.0,58.8,8.333333333333334,4.6,3.9,647098,743772
372,Edmond Sumner,Guard,25.0,53.0,24.0,16.2,58.699999999999996,24.528301886792455,5.9,13.8,2160000,2482696
373,Jae'Sean Tate,Forward,25.0,70.0,58.0,29.2,55.400000000000006,16.853932584269664,9.8,12.4,1445697,1661679
374,Jayson Tatum,Forward,22.0,64.0,64.0,35.8,53.0,22.330097087378636,11.5,10.4,9897120,11375716
375,Jeff Teague,Guard,32.0,55.0,7.0,17.3,49.6,30.76923076923077,5.1,16.2,3372826,3876714
376,Garrett Temple,Guard,34.0,56.0,25.0,27.3,50.3,10.294117647058822,5.8,12.6,4767000,5479173
377,Daniel Theis,Center,28.0,65.0,51.0,24.6,59.3,15.277777777777779,12.4,11.4,5000000,5746983
378,Brodric Thomas,Guard,24.0,32.0,1.0,12.5,43.5,29.411764705882355,7.4,14.6,412202,473783
379,Matt Thomas,Guard,26.0,45.0,0.0,7.2,50.0,10.714285714285715,7.3,9.5,1517981,1744762
380,Tristan Thompson,Forward,29.0,54.0,43.0,23.8,51.800000000000004,21.666666666666668,19.0,14.1,9258000,10641113
381,Sindarius Thornwell,Guard,26.0,21.0,1.0,10.3,40.2,9.090909090909092,4.4,12.4,1235889,1420525
382,Matisse Thybulle,Guard,23.0,65.0,8.0,20.0,50.8,2.7027027027027026,5.3,11.3,2711280,3116336
383,Xavier Tillman,Forward,22.0,59.0,12.0,18.4,59.5,11.76470588235294,12.5,12.3,1300000,1494215
384,Obi Toppin,Forward,22.0,62.0,0.0,11.0,56.00000000000001,8.823529411764707,11.0,9.4,4862040,5588412
385,Juan Toscano-Anderson,Guard,27.0,53.0,16.0,20.9,66.7,10.256410256410257,11.3,21.5,943963,1084987
386,Karl-Anthony Towns,Center,25.0,50.0,50.0,33.8,55.50000000000001,30.28571428571428,17.0,13.7,29467800,33870189
387,Gary Trent Jr,Guard,22.0,58.0,38.0,31.1,51.300000000000004,10.37037037037037,4.6,4.9,1663861,1912436
388,PJ Tucker,Forward,35.0,52.0,33.0,26.1,48.6,11.764705882352942,8.0,17.4,7969537,9160158
389,Myles Turner,Center,24.0,47.0,47.0,31.0,55.7,26.08695652173913,11.4,11.9,18000000,20689139
390,Jonas Valanciunas,Center,28.0,62.0,61.0,28.3,60.6,20.833333333333336,23.4,10.7,15000000,17240949
391,Denzel Valentine,Guard,27.0,62.0,3.0,16.7,46.9,4.477611940298507,10.5,9.0,4642800,5336418
392,Jarred Vanderbilt,Forward,21.0,64.0,30.0,17.8,60.8,24.324324324324323,17.5,15.9,1663861,1912436
393,Fred VanVleet,Guard,26.0,52.0,52.0,36.5,48.9,19.760479041916167,6.4,9.1,21250000,24424678
394,Devin Vassell,Forward,20.0,62.0,7.0,17.0,49.2,14.285714285714285,8.8,6.3,4033440,4636022
395,Gabe Vincent,Guard,24.0,50.0,7.0,13.1,47.599999999999994,8.51063829787234,4.9,12.3,660750,759463
396,Nikola Vucevic,Center,30.0,70.0,70.0,33.5,54.0,9.547738693467336,18.5,7.9,26000000,29884312
397,Dean Wade,Forward,24.0,63.0,19.0,19.2,55.60000000000001,10.20408163265306,9.9,8.4,1517981,1744762
398,Moritz Wagner,Center,23.0,45.0,24.0,16.0,52.2,31.37254901960785,10.7,13.9,2383915,2740063
399,Kemba Walker,Guard,30.0,43.0,43.0,31.8,51.4,19.745222929936308,6.9,10.6,34379100,39515221
400,Lonnie Walker,Guard,22.0,60.0,38.0,25.4,50.2,9.803921568627452,5.4,9.2,2895720,3328330
401,John Wall,Guard,30.0,40.0,40.0,32.2,45.800000000000004,21.978021978021978,5.3,14.7,41254920,47418265
402,Brad Wanamaker,Guard,31.0,61.0,0.0,17.3,41.099999999999994,30.61224489795918,5.3,17.1,2250000,2586142
403,PJ Washington,Forward,22.0,64.0,61.0,30.5,52.2,15.887850467289722,11.6,14.6,4023600,4624712
404,Yuta Watanabe,Forward,26.0,50.0,4.0,14.5,53.900000000000006,13.88888888888889,12.1,9.0,737996,848250
405,Tremont Waters,Guard,23.0,26.0,3.0,9.2,49.4,18.749999999999996,4.9,22.8,712278,818689
406,Paul Watson,Forward,26.0,27.0,2.0,11.0,64.60000000000001,6.666666666666667,8.3,9.5,1445697,1661679
407,Quinndary Weatherspoon,Guard,24.0,20.0,0.0,6.1,47.099999999999994,38.888888888888886,4.8,19.2,449115,516211
408,Russell Westbrook,Guard,32.0,65.0,65.0,36.4,47.4,22.10526315789474,16.8,18.0,41358814,47537680
409,Coby White,Guard,20.0,69.0,54.0,31.2,50.6,14.50381679389313,7.3,13.9,5572680,6405219
410,Derrick White,Guard,26.0,36.0,32.0,29.6,50.3,21.42857142857143,5.4,8.2,3516284,4041604
411,Hassan Whiteside,Center,31.0,36.0,4.0,15.2,56.3,17.741935483870968,21.9,13.4,2320044,2666650
412,Andrew Wiggins,Forward,25.0,71.0,71.0,33.3,54.300000000000004,16.10738255033557,7.8,9.8,29542010,33955486
413,Grant Williams,Forward,22.0,63.0,9.0,18.1,53.400000000000006,12.820512820512823,8.7,17.2,2498760,2872066
414,Kenrich Williams,Forward,26.0,66.0,13.0,21.6,59.599999999999994,8.064516129032258,10.0,14.8,2000000,2298793
415,Patrick Williams,Forward,19.0,71.0,71.0,27.9,53.400000000000006,17.56756756756757,9.1,14.4,7068360,8124349
416,Robert Williams,Center,23.0,52.0,13.0,18.9,72.1,18.0,20.2,15.2,2029920,2333183
417,Zion Williamson,Forward,20.0,61.0,61.0,33.2,61.6,35.294117647058826,11.8,11.6,10245480,11776120
418,DJ Wilson,Forward,24.0,35.0,1.0,12.4,49.4,10.416666666666668,13.7,10.9,4548280,5227777
419,Dylan Windler,Forward,24.0,31.0,0.0,16.5,53.800000000000004,16.666666666666664,11.7,18.4,2137440,2456766
420,Justise Winslow,Forward,24.0,26.0,1.0,19.5,37.6,9.876543209876544,12.3,14.1,13000000,14942156
421,Cassius Winston,Guard,22.0,22.0,0.0,4.5,54.50000000000001,13.333333333333334,4.9,12.3,449115,516211
422,James Wiseman,Center,19.0,39.0,27.0,21.4,53.5,14.893617021276595,14.4,12.9,8730240,10034508
423,Christian Wood,Center,25.0,41.0,41.0,32.3,57.4,19.230769230769234,15.9,9.9,13015874,14960401
424,Delon Wright,Guard,28.0,63.0,39.0,27.7,52.5,19.512195121951223,8.6,12.6,9000000,10344569
425,Thaddeus Young,Forward,32.0,68.0,23.0,24.3,56.8,10.309278350515465,14.2,16.1,13545000,15568577
426,Trae Young,Guard,22.0,63.0,63.0,33.7,49.9,43.502824858757066,6.3,16.2,6571800,7553604
427,Cody Zeller,Center,28.0,48.0,21.0,20.9,56.49999999999999,26.47058823529412,17.7,11.9,15415730,17718787
428,Ivica Zubac,Center,23.0,72.0,33.0,22.3,65.4,34.54545454545455,18.1,14.7,7000000,8045776
429,Precious Achiuwa,Center,22.0,73.0,28.0,23.6,48.6,13.253012048192772,14.9,11.3,2711280,2956915
430,Steven Adams,Center,28.0,76.0,75.0,26.3,54.7,27.450980392156865,19.9,19.6,17073171,18619958
431,Bam Adebayo,Center,24.0,56.0,56.0,32.6,55.7,35.38461538461538,17.5,14.4,28103500,30649609
432,LaMarcus Aldridge,Center,36.0,47.0,12.0,22.3,56.599999999999994,19.587628865979383,13.4,8.0,2641691,2881021
433,Nickeil Alexander-Walker,Guard,23.0,65.0,21.0,22.6,44.9,11.428571428571429,7.1,11.3,3261480,3556962
434,Grayson Allen,Guard,26.0,66.0,61.0,27.3,58.8,11.627906976744185,6.5,6.7,4054695,4422040
435,Jarrett Allen,Center,23.0,56.0,56.0,32.3,67.80000000000001,29.896907216494846,18.4,12.7,20000000,21811951
436,Jose Alvarado,Guard,23.0,54.0,1.0,15.4,50.0,12.962962962962962,6.6,11.2,1925406,2099843
437,Kyle Anderson,Forward,28.0,69.0,11.0,21.5,48.4,14.705882352941178,13.0,12.1,9937150,10837431
438,Giannis Antetokounmpo,Forward,27.0,67.0,67.0,32.9,58.199999999999996,44.623655913978496,18.7,12.2,39344900,42909452
439,Thanasis Antetokounmpo,Forward,29.0,48.0,6.0,9.9,55.50000000000001,22.22222222222222,11.3,14.9,1729217,1885879
440,Carmelo Anthony,Forward,37.0,69.0,3.0,26.0,54.400000000000006,18.095238095238095,8.6,6.9,2641691,2881021
441,Cole Anthony,Guard,21.0,65.0,65.0,31.7,46.400000000000006,23.57142857142857,8.9,14.2,3449400,3761907
442,OG Anunoby,Forward,24.0,48.0,48.0,36.0,52.6,13.103448275862068,8.3,9.7,16071429,17527461
443,Trevor Ariza,Forward,36.0,24.0,11.0,19.3,43.4,9.756097560975611,9.5,9.3,2641691,2881021
444,DJ Augustin,Guard,34.0,55.0,2.0,16.1,57.699999999999996,17.5,4.2,18.9,7622467,8313044
445,Deni Avdija,Forward,21.0,82.0,8.0,24.2,50.3,18.30985915492958,11.9,12.0,4692840,5117999
446,Deandre Ayton,Center,23.0,58.0,58.0,29.5,63.9,15.0,18.6,10.7,12632950,13777464
447,Marvin Bagley,Forward,22.0,48.0,25.0,23.9,53.0,15.053763440860212,16.0,7.4,11312114,12336964
448,LaMelo Ball,Guard,20.0,75.0,75.0,32.3,51.7,16.766467065868262,11.0,15.3,8231760,8977537
449,Lonzo Ball,Guard,24.0,35.0,35.0,34.6,56.699999999999996,5.504587155963303,8.8,17.2,18604651,20290187
450,Mo Bamba,Center,23.0,71.0,69.0,25.7,56.599999999999994,9.195402298850576,16.5,10.6,7568743,8254452
451,Desmond Bane,Guard,23.0,76.0,76.0,29.8,56.49999999999999,12.413793103448276,7.7,8.7,2033160,2217359
452,Dalano Banton,Guard,22.0,64.0,1.0,10.9,44.3,12.5,9.7,19.3,925258,1009084
453,Harrison Barnes,Forward,29.0,77.0,77.0,33.6,55.400000000000006,40.74074074074075,9.1,10.4,20284091,22121780
454,Scottie Barnes,Forward,20.0,74.0,74.0,35.4,52.400000000000006,16.666666666666668,11.5,11.7,7280400,7939986
455,RJ Barrett,Forward,21.0,70.0,70.0,34.5,46.6,23.9766081871345,9.1,9.9,8623920,9405226
456,Will Barton,Guard,31.0,71.0,71.0,32.1,52.5,11.11111111111111,8.3,11.8,15625000,17040587
457,Charles Bassey,Center,21.0,23.0,0.0,7.3,63.800000000000004,20.0,20.6,13.3,925258,1009084
458,Keita Bates-Diop,Forward,26.0,59.0,14.0,16.2,54.900000000000006,17.77777777777778,12.7,13.4,1729217,1885879
459,Nicolas Batum,Forward,33.0,59.0,54.0,24.8,60.199999999999996,6.060606060606061,9.2,9.0,12026998,13116613
460,Kent Bazemore,Forward,32.0,39.0,14.0,14.0,42.8,8.333333333333332,6.8,12.5,2401537,2619110
461,Darius Bazley,Forward,21.0,69.0,53.0,27.9,48.4,18.085106382978722,11.6,11.1,2513040,2740715
462,Bradley Beal,Guard,28.0,40.0,40.0,36.0,49.2,21.761658031088082,7.3,13.6,33724200,36779530
463,Malik Beasley,Guard,25.0,79.0,18.0,25.0,53.2,5.555555555555555,6.2,4.7,14491964,15804900
464,DeAndre Bembry,Forward,27.0,56.0,20.0,18.3,59.5,10.256410256410257,8.6,11.6,2271045,2476795
465,Davis Bertans,Forward,29.0,56.0,0.0,14.4,50.0,12.244897959183671,8.0,6.1,16000000,17449561
