,Player,2021/22,2021/22(*)
175,Zach Collins,"$7,000,000","$7,634,183"
176,Wendell Carter,"$6,920,027","$7,546,964"
177,Juan Hernangomez,"$6,803,190","$7,419,542"
178,Isaac Okoro,"$6,720,720","$7,329,600"
179,Jalen Suggs,"$6,592,920","$7,190,222"
180,Cameron Payne,"$6,500,000","$7,088,884"
181,Joakim Noah,"$6,431,666","$7,014,359"
182,Jarrett Culver,"$6,395,160","$6,974,546"
183,Khem Birch,"$6,350,000","$6,925,294"
184,Collin Sexton,"$6,349,671","$6,924,935"
185,Onyeka Okongwu,"$6,104,280","$6,657,312"
186,Justin Holiday,"$6,006,420","$6,550,587"
187,Josh Giddey,"$5,988,000","$6,530,498"
188,Patrick Mills,"$5,890,000","$6,423,619"
189,Dennis Schroeder,"$5,890,000","$6,423,619"
190,Rudy Gay,"$5,890,000","$6,423,619"
191,Kevin Knox,"$5,845,978","$6,375,609"
192,Coby White,"$5,837,760","$6,366,646"
193,Timofey Mozgov,"$5,573,333","$6,078,263"
194,Killian Hayes,"$5,572,680","$6,077,551"
195,Mikal Bridges,"$5,557,725","$6,061,241"
196,Shai Gilgeous-Alexander,"$5,495,532","$5,993,413"
197,Jonathan Kuminga,"$5,466,360","$5,961,598"
198,Miles Bridges,"$5,421,493","$5,912,667"
199,Jaxson Hayes,"$5,348,280","$5,832,821"
200,Pat Connaughton,"$5,333,334","$5,816,521"
201,Kris Dunn,"$5,317,430","$5,799,175"
202,George Hill,"$5,275,491","$5,753,437"
203,Michael Porter,"$5,258,735","$5,735,163"
204,Dewayne Dedmon,"$5,256,308","$5,732,516"
205,Ryan Anderson,"$5,214,583","$5,687,011"
206,Hamidou Diallo,"$5,200,000","$5,671,107"
207,Kevon Looney,"$5,178,572","$5,647,738"
208,Troy Brown,"$5,170,564","$5,639,004"
209,Obi Toppin,"$5,105,160","$5,567,675"
210,Franz Wagner,"$5,007,840","$5,461,538"
211,Josh Jackson,"$5,005,350","$5,458,822"
212,Louis Williams,"$5,000,000","$5,452,987"
213,Kendrick Nunn,"$5,000,000","$5,452,987"
214,Luol Deng,"$5,000,000","$5,452,987"
215,Robin Lopez,"$5,000,000","$5,452,987"
216,JaVale McGee,"$5,000,000","$5,452,987"
217,Danuel House,"$4,997,424","$5,450,176"
218,Rui Hachimura,"$4,916,160","$5,361,552"
219,Garrett Temple,"$4,910,000","$5,354,834"
220,Taj Gibson,"$4,910,000","$5,354,834"
221,Torrey Craig,"$4,878,049","$5,319,988"
222,Bruce Brown,"$4,736,102","$5,165,181"
223,Deni Avdija,"$4,692,840","$5,117,999"
224,Donte DiVincenzo,"$4,675,830","$5,099,448"
225,Cam Reddish,"$4,670,160","$5,093,265"
226,David Nwaba,"$4,650,000","$5,071,278"
227,Furkan Korkmaz,"$4,629,630","$5,049,063"
228,Davion Mitchell,"$4,603,200","$5,020,238"
229,Jeff Green,"$4,500,000","$4,907,689"
230,Bryn Forbes,"$4,500,000","$4,907,689"
231,Ishmael Smith,"$4,500,000","$4,907,689"
232,Jalen Smith,"$4,458,000","$4,861,884"
233,Lonnie Walker,"$4,447,896","$4,850,864"
234,Cameron Johnson,"$4,437,000","$4,838,981"
235,Ziaire Williams,"$4,373,040","$4,769,226"
236,Bobby Portis,"$4,347,600","$4,741,482"
237,Moe Harkless,"$4,347,600","$4,741,482"
238,Kevin Huerter,"$4,253,357","$4,638,700"
239,Devin Vassell,"$4,235,160","$4,618,855"
240,Chandler Hutchison,"$4,224,186","$4,606,886"
241,Willie Cauley-Stein,"$4,220,083","$4,602,412"
242,PJ Washington,"$4,215,120","$4,596,999"
243,James Bouknight,"$4,154,400","$4,530,778"
244,Jevon Carter,"$4,107,149","$4,479,246"
245,Josh Okogie,"$4,087,904","$4,458,258"
246,Grayson Allen,"$4,054,695","$4,422,040"
247,Jarred Vanderbilt,"$4,050,000","$4,416,920"
248,Tyrese Haliburton,"$4,023,600","$4,388,128"
249,Tyler Herro,"$4,004,280","$4,367,058"
250,Gorgui Dieng,"$4,000,000","$4,362,390"
251,Dorian Finney-Smith,"$4,000,000","$4,362,390"
252,Terence Davis,"$4,000,000","$4,362,390"
253,Aaron Holiday,"$3,980,551","$4,341,179"
254,Josh Primo,"$3,946,800","$4,304,370"
255,Jake Layman,"$3,940,184","$4,297,155"
256,Anfernee Simons,"$3,938,818","$4,295,665"
257,Justise Winslow,"$3,902,439","$4,255,990"
258,Kira Lewis,"$3,822,240","$4,168,525"
259,Romeo Langford,"$3,804,360","$4,149,025"
260,Sekou Doumbouya,"$3,799,131","$4,143,322"
261,Landry Shamet,"$3,768,342","$4,109,744"
262,Chris Duarte,"$3,749,400","$4,089,086"
263,Alex Len,"$3,732,000","$4,070,110"
264,Robert Williams,"$3,661,976","$3,993,742"
265,Aaron Nesmith,"$3,631,200","$3,960,177"
266,Moses Moody,"$3,562,200","$3,884,926"
267,Boban Marjanovic,"$3,500,000","$3,817,091"
268,Mike Muscala,"$3,500,000","$3,817,091"
269,Cole Anthony,"$3,449,400","$3,761,907"
270,Corey Kispert,"$3,383,640","$3,690,189"
271,Luka Samanic,"$3,355,239","$3,659,215"
272,Michael Carter-Williams,"$3,300,000","$3,598,972"
273,Georges Niang,"$3,300,000","$3,598,972"
274,Isaiah Stewart,"$3,277,080","$3,573,975"
275,Chuma Okeke,"$3,277,080","$3,573,975"
276,Nickeil Alexander-Walker,"$3,261,480","$3,556,962"
277,Alperen Sengun,"$3,214,680","$3,505,922"
278,Jon Leuer,"$3,169,348","$3,456,483"
279,Trey Burke,"$3,150,000","$3,435,382"
280,Aleksej Pokusevski,"$3,113,160","$3,395,204"
281,Facundo Campazzo,"$3,100,000","$3,380,852"
282,Goga Bitadze,"$3,098,400","$3,379,107"
283,Trey Murphy,"$3,053,760","$3,330,423"
284,Sterling Brown,"$3,000,000","$3,271,792"
285,Frank Jackson,"$3,000,000","$3,271,792"
286,Josh Green,"$2,957,520","$3,225,464"
287,Tre Mann,"$2,901,240","$3,164,085"
288,Andrew Nicholson,"$2,844,429","$3,102,127"
289,Matisse Thybulle,"$2,840,160","$3,097,471"
290,Saddiq Bey,"$2,824,320","$3,080,196"
291,Kai Jones,"$2,770,560","$3,021,566"
292,Brandon Clarke,"$2,726,880","$2,973,928"
293,Precious Achiuwa,"$2,711,280","$2,956,915"
294,Marc Gasol,"$2,692,991","$2,936,969"
295,Jalen Johnson,"$2,659,680","$2,900,640"
296,LaMarcus Aldridge,"$2,641,691","$2,881,021"
297,James Johnson,"$2,641,691","$2,881,021"
298,Ed Davis,"$2,641,691","$2,881,021"
299,Andre Iguodala,"$2,641,691","$2,881,021"
300,Enes Kanter,"$2,641,691","$2,881,021"
301,Avery Bradley,"$2,641,691","$2,881,021"
302,Carmelo Anthony,"$2,641,691","$2,881,021"
303,Wayne Ellington,"$2,641,691","$2,881,021"
304,Trevor Ariza,"$2,641,691","$2,881,021"
305,Dwight Howard,"$2,641,691","$2,881,021"
306,Udonis Haslem,"$2,641,691","$2,881,021"
307,Markieff Morris,"$2,641,691","$2,881,021"
308,E'Twaun Moore,"$2,641,691","$2,881,021"
309,Paul Millsap,"$2,641,691","$2,881,021"
310,Grant Williams,"$2,617,800","$2,854,966"
311,Tyrese Maxey,"$2,602,920","$2,838,738"
312,Keon Johnson,"$2,553,240","$2,784,557"
313,Darius Bazley,"$2,513,040","$2,740,715"
314,Trey Lyles,"$2,500,000","$2,726,493"
315,Zeke Nnaji,"$2,498,760","$2,725,141"
316,Isaiah Jackson,"$2,451,240","$2,673,316"
317,Ty Jerome,"$2,412,840","$2,631,437"
318,Andre Drummond,"$2,401,537","$2,619,110"
319,Austin Rivers,"$2,401,537","$2,619,110"
320,Kent Bazemore,"$2,401,537","$2,619,110"
321,Hassan Whiteside,"$2,401,537","$2,619,110"
322,Otto Porter,"$2,389,641","$2,606,136"
323,Victor Oladipo,"$2,389,641","$2,606,136"
324,Tony Snell,"$2,389,641","$2,606,136"
325,Solomon Hill,"$2,389,641","$2,606,136"
326,Ben McLemore,"$2,389,641","$2,606,136"
327,Cody Zeller,"$2,389,641","$2,606,136"
328,Usman Garuba,"$2,353,320","$2,566,525"
329,Leandro Bolmaro,"$2,353,320","$2,566,525"
330,Willy Hernangomez,"$2,327,220","$2,538,060"
331,Edmond Sumner,"$2,320,000","$2,530,186"
332,Nassir Little,"$2,316,240","$2,526,085"
333,RJ Hampton,"$2,303,040","$2,511,689"
334,DeAndre Bembry,"$2,271,045","$2,476,795"
335,Josh Christopher,"$2,259,240","$2,463,921"
336,Monta Ellis,"$2,245,400","$2,448,827"
337,Drew Eubanks,"$2,239,820","$2,442,742"
338,Rodney Hood,"$2,239,544","$2,442,441"
339,Elfrid Payton,"$2,239,544","$2,442,441"
340,Dylan Windler,"$2,239,200","$2,442,066"
341,Immanuel Quickley,"$2,210,640","$2,410,918"
342,John Konchar,"$2,200,000","$2,399,314"
343,Quentin Grimes,"$2,168,640","$2,365,113"
344,Jordan Poole,"$2,161,440","$2,357,261"
345,Bol Bol,"$2,161,152","$2,356,947"
346,Keldon Johnson,"$2,145,720","$2,340,117"
347,Payton Pritchard,"$2,137,440","$2,331,086"
348,Jahlil Okafor,"$2,130,023","$2,322,997"
349,Bones Hyland,"$2,096,880","$2,286,852"
350,Nemanja Bjelica,"$2,089,448","$2,278,746"
351,Frank Kaminsky,"$2,089,448","$2,278,746"
352,Raul Neto,"$2,089,448","$2,278,746"
353,Udoka Azubuike,"$2,075,880","$2,263,949"
354,Jaden McDaniels,"$2,063,280","$2,250,208"
355,Malachi Flynn,"$2,048,040","$2,233,587"
356,DeMarcus Cousins,"$2,038,942","$2,223,664"
357,Cam Thomas,"$2,036,280","$2,220,762"
358,Desmond Bane,"$2,033,160","$2,217,359"
359,Jaden Springer,"$2,023,680","$2,207,020"
360,Day'Ron Sharpe,"$2,009,160","$2,191,185"
361,Garrison Mathews,"$2,000,000","$2,181,195"
362,Jordan McLaughlin,"$2,000,000","$2,181,195"
363,Jeremiah Robinson-Earl,"$2,000,000","$2,181,195"
364,Theo Maledon,"$2,000,000","$2,181,195"
365,Kenrich Williams,"$2,000,000","$2,181,195"
366,Abdel Nader,"$2,000,000","$2,181,195"
367,Santiago Aldama,"$1,994,520","$2,175,218"
368,Damian Jones,"$1,977,011","$2,156,123"
369,Wesley Matthews,"$1,958,495","$2,135,929"
370,Timothe Luwawu,"$1,939,350","$2,115,050"
371,Rodney McGruder,"$1,939,350","$2,115,050"
372,Moses Brown,"$1,933,909","$2,109,116"
373,Wesley Iwundu,"$1,926,834","$2,101,400"
374,Jose Alvarado,"$1,925,406","$2,099,843"
375,Damion Lee,"$1,910,860","$2,083,979"
376,PJ Dozier,"$1,910,860","$2,083,979"
377,Killian Tillie,"$1,901,625","$2,073,907"
378,Tyrell Terry,"$1,869,438","$2,038,804"
379,Larry Sanders,"$1,865,546","$2,034,559"
380,Carsen Edwards,"$1,859,365","$2,027,818"
381,Shake Milton,"$1,846,738","$2,014,047"
382,Jalen Brunson,"$1,802,057","$1,965,319"
383,Mitchell Robinson,"$1,802,057","$1,965,319"
384,Tony Bradley,"$1,789,256","$1,951,358"
385,Frank Ntilikina,"$1,789,256","$1,951,358"
386,Semi Ojeleye,"$1,789,256","$1,951,358"
387,Malik Monk,"$1,789,256","$1,951,358"
388,Dennis Smith,"$1,789,256","$1,951,358"
389,Didi Louzada,"$1,786,878","$1,948,764"
390,Nicolas Claxton,"$1,782,621","$1,944,122"
391,Jalen McDaniels,"$1,782,621","$1,944,122"
392,Cody Martin,"$1,782,621","$1,944,122"
393,Dean Wade,"$1,782,621","$1,944,122"
394,Vlatko Cancar,"$1,782,621","$1,944,122"
395,Kevin Porter,"$1,782,621","$1,944,122"
396,Bruno Fernando,"$1,782,621","$1,944,122"
397,Terance Mann,"$1,782,621","$1,944,122"
398,Jaylen Nowell,"$1,782,621","$1,944,122"
399,Naz Reid,"$1,782,621","$1,944,122"
400,Isaiah Roby,"$1,782,621","$1,944,122"
401,Luguentz Dort,"$1,782,621","$1,944,122"
402,KZ Okpala,"$1,782,621","$1,944,122"
403,Eric Paschall,"$1,782,621","$1,944,122"
404,Daniel Gafford,"$1,782,621","$1,944,122"
405,Chimezie Metu,"$1,762,796","$1,922,501"
406,Yuta Watanabe,"$1,762,796","$1,922,501"
407,Armoni Brooks,"$1,739,065","$1,896,619"
408,Isaiah Hartenstein,"$1,729,217","$1,885,879"
409,Thanasis Antetokounmpo,"$1,729,217","$1,885,879"
410,Moritz Wagner,"$1,729,217","$1,885,879"
411,Keita Bates-Diop,"$1,729,217","$1,885,879"
412,Sviatoslav Mykhailiuk,"$1,729,217","$1,885,879"
413,Isaac Bonga,"$1,729,217","$1,885,879"
414,Juan Toscano-Anderson,"$1,701,593","$1,855,753"
415,Oshae Brissett,"$1,701,593","$1,855,753"
416,Herb Jones,"$1,700,000","$1,854,015"
417,Gabriel Deck,"$1,690,507","$1,843,662"
418,Matt Thomas,"$1,669,178","$1,820,401"
419,Javonte Green,"$1,669,178","$1,820,401"
420,Gary Payton II,"$1,669,178","$1,820,401"
421,Max Strus,"$1,669,178","$1,820,401"
422,Gabe Vincent,"$1,669,178","$1,820,401"
423,Robert Woodard,"$1,619,015","$1,765,693"
424,Lance Stephenson,"$1,614,825","$1,761,124"
425,Deividas Sirvydis,"$1,603,559","$1,748,837"
426,Daniel Oturu,"$1,603,559","$1,748,837"
427,Kevin Pangos,"$1,569,178","$1,711,341"
428,Bismack Biyombo,"$1,518,213","$1,655,759"
429,Nick Richards,"$1,517,981","$1,655,506"
430,Lamar Stevens,"$1,517,981","$1,655,506"
431,KJ Martin,"$1,517,981","$1,655,506"
432,Jae'Sean Tate,"$1,517,981","$1,655,506"
433,Sam Merrill,"$1,517,981","$1,655,506"
434,Xavier Tillman,"$1,517,981","$1,655,506"
435,Jordan Nwora,"$1,517,981","$1,655,506"
436,Naji Marshall,"$1,517,981","$1,655,506"
437,Paul Reed,"$1,517,981","$1,655,506"
438,Isaiah Joe,"$1,517,981","$1,655,506"
439,CJ Elleby,"$1,517,981","$1,655,506"
440,Elijah Hughes,"$1,517,981","$1,655,506"
441,Jahmi'us Ramsey,"$1,517,981","$1,655,506"
442,Tre Jones,"$1,517,981","$1,655,506"
443,Anthony Gill,"$1,517,981","$1,655,506"
444,Vernon Carey,"$1,517,981","$1,655,506"
445,Isaiah Todd,"$1,500,000","$1,635,896"
446,Saben Lee,"$1,489,065","$1,623,970"
447,Omer Yurtseven,"$1,489,065","$1,623,970"
448,JR Smith,"$1,456,667","$1,588,637"
449,Stanley Johnson,"$1,368,998","$1,493,025"
450,Duane Washington Jr,"$1,346,676","$1,468,681"
451,Aaron Wiggins,"$1,305,761","$1,424,059"
452,Marquese Chriss,"$1,292,900","$1,410,033"
453,JT Thor,"$1,250,000","$1,363,246"
454,DeMarre Carroll,"$1,242,340","$1,354,892"
455,Jabari Parker,"$1,168,286","$1,274,129"
456,Alfonzo McKinnie,"$1,090,007","$1,188,758"
457,Zhaire Smith,"$1,068,200","$1,164,976"
458,Jason Preston,"$1,062,303","$1,158,545"
459,Isaiah Livers,"$1,057,260","$1,153,045"
460,Denzel Valentine,"$1,005,633","$1,096,740"
461,Alize Johnson,"$1,003,740","$1,094,675"
462,Kyle Singler,"$999,200","$1,089,725"
463,Kelan Martin,"$993,760","$1,083,792"
464,Miye Oni,"$946,261","$1,031,989"
465,Ayo Dosunmu,"$925,258","$1,009,084"
466,Marko Simonovic,"$925,258","$1,009,084"
467,Luka Garza,"$925,258","$1,009,084"
468,BJ Boston,"$925,258","$1,009,084"
469,Austin Reaves,"$925,258","$1,009,084"
470,Miles McBride,"$925,258","$1,009,084"
471,Vit Krejci,"$925,258","$1,009,084"
472,Charles Bassey,"$925,258","$1,009,084"
473,Greg Brown,"$925,258","$1,009,084"
474,Jock Landale,"$925,258","$1,009,084"
475,Dalano Banton,"$925,258","$1,009,084"
476,Jared Butler,"$925,258","$1,009,084"
477,Daishen Nix,"$923,078","$1,006,706"
478,Isaiah Thomas,"$910,926","$993,452"
479,Terry Taylor,"$895,125","$976,221"
480,Mamadi Diakite,"$869,078","$947,814"
481,Caleb Martin,"$844,011","$920,476"
482,Brad Wanamaker,"$814,918","$888,747"
483,Luke Kornet,"$812,364","$885,961"
484,Wayne Selden,"$812,363","$885,961"
485,Gary Clark,"$811,213","$884,706"
486,Ryan Arcidiacono,"$774,727","$844,915"
487,Trendon Watford,"$768,830","$838,484"
488,Patrick Patterson,"$737,067","$803,843"
489,Devontae Cacok,"$726,128","$791,913"
490,Admiral Schofield,"$723,741","$789,309"
491,Ishmail Wainright,"$707,893","$772,025"
492,Shaun Livingston,"$666,666","$727,064"
493,Malik Fitts,"$630,874","$688,028"
494,Sam Hauser,"$619,498","$675,623"
495,Greg Monroe,"$612,805","$668,323"
496,Amir Coffey,"$573,576","$625,540"
497,Joe Wieskamp,"$563,663","$614,729"
498,Keifer Sykes,"$558,345","$608,929"
499,Haywood Highsmith,"$547,701","$597,321"
500,Nik Stauskas,"$534,993","$583,461"
501,Davon Reed,"$532,398","$580,631"
502,Wenyen Gabriel,"$522,015","$569,306"
503,Skylar Mays,"$510,907","$557,193"
504,Georgios Kalaitzakis,"$499,852","$545,137"
505,RJ Nembhard,"$491,876","$536,438"
506,Chris Silva,"$479,650","$523,105"
507,Kessler Edwards,"$463,211","$505,176"
508,Trent Forrest,"$463,211","$505,176"
509,Sharife Cooper,"$462,629","$504,542"
510,Brodric Thomas,"$462,629","$504,542"
511,David Duke,"$462,629","$504,542"
512,Scottie Lewis,"$462,629","$504,542"
513,Arnoldas Kulboka,"$462,629","$504,542"
514,Tyler Cook,"$462,629","$504,542"
515,Markus Howard,"$462,629","$504,542"
516,Jamorko Pickett,"$462,629","$504,542"
517,Sean Chris Smith,"$462,629","$504,542"
518,Chris Chiozza,"$462,629","$504,542"
519,Jay Scrubb,"$462,629","$504,542"
520,Yves Pons,"$462,629","$504,542"
521,Sandro Mamukelashvili,"$462,629","$504,542"
522,McKinley Wright,"$462,629","$504,542"
523,Nathan Knight,"$462,629","$504,542"
524,Jericho Sims,"$462,629","$504,542"
525,Ignas Brazdeikis,"$462,629","$504,542"
526,Keljin Blevins,"$462,629","$504,542"
527,Neemias Queta,"$462,629","$504,542"
528,David Johnson,"$462,629","$504,542"
529,Justin Champagnie,"$462,629","$504,542"
530,Joel Ayayi,"$462,629","$504,542"
531,Cassius Winston,"$462,629","$504,542"
532,Justin Anderson,"$445,828","$486,218"
