,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
186,Talen Horton-Tucker,Guard,21.0,60.0,19.0,25.2,102.0,114.0,-3.2,-0.2,46.2,18.88888888888889,6.9,12.1,9500.0,10360.677,1619.2797406984341,6164.741803946138,3892.0107723222864
187,Danuel House,Forward,28.0,42.0,7.0,17.3,108.0,113.0,-1.3,0.2,51.5,21.27659574468085,8.4,12.9,4997.424,5450.176,8605.295822102475,6252.643599314115,7428.969710708295
188,Dwight Howard,Center,36.0,60.0,27.0,16.2,128.0,109.0,-0.2,0.0,63.0,43.24324324324324,19.7,14.2,2641.691,2881.021,6434.842859048673,4144.823460869315,5289.833159958994
189,Markus Howard,Guard,22.0,31.0,0.0,5.7,108.0,113.0,0.8,-2.0,52.5,18.181818181818183,3.8,5.9,462.629,504.542,4300.486297782179,1492.7735526328154,2896.629925207497
190,Kevin Huerter,Forward,23.0,74.0,60.0,29.6,112.0,117.0,-0.5,-0.7,55.900000000000006,5.825242718446601,6.4,10.4,4253.357,4638.7,5621.459821064016,4929.193299271933,5275.326560167974
191,Elijah Hughes,Forward,23.0,36.0,4.0,12.1,87.0,116.0,-5.2,-1.7,41.3,5.0,7.3,10.3,1517.981,1655.506,1685.420145535424,2047.9428287425158,1866.6814871389697
192,De'Andre Hunter,Forward,24.0,53.0,52.0,29.8,106.0,117.0,-2.4,-1.5,50.6,22.22222222222222,6.1,9.6,7775.4,8479.832,4520.058589840726,8966.369274803386,6743.213932322056
193,Bones Hyland,Guard,21.0,69.0,4.0,19.0,109.0,112.0,0.3,-0.7,51.8,19.27710843373493,8.0,12.1,2096.88,2286.852,3601.316470840014,2722.728370594281,3162.0224207171477
194,Serge Ibaka,Center,32.0,54.0,12.0,16.2,112.0,110.0,-1.3,-0.2,56.3,10.909090909090908,15.1,12.0,9720.9,10601.59,6955.4798201842605,7279.546770729626,7117.5132954569435
195,Andre Iguodala,Forward,38.0,31.0,0.0,19.5,114.0,106.0,-0.9,3.7,45.0,12.820512820512825,9.1,17.7,2641.691,2881.021,3191.0881315923575,3511.1019726550694,3351.0950521237137
196,Joe Ingles,Forward,34.0,45.0,15.0,24.9,117.0,114.0,-0.7,0.5,54.0,6.349206349206351,6.4,13.5,13036.364,14217.427,6565.931645524613,9349.77813905361,7957.854892289111
197,Brandon Ingram,Forward,24.0,55.0,55.0,34.0,111.0,115.0,2.6,-0.6,49.8,26.81564245810056,9.5,11.8,29467.8,32137.511,14731.251953532048,22275.54597851047,18503.398966021257
198,Kyrie Irving,Guard,29.0,29.0,29.0,37.6,117.0,114.0,4.2,-1.2,55.00000000000001,19.33962264150944,6.3,9.8,35328.7,38529.394,23734.360736141316,26879.663793462292,25307.012264801804
